id_commune;id_election;id_candidat;inscrits;abstentions;votants;blancs;nuls;exprimes;pct_abs_ins;pct_vot_ins;pct_blancs_ins;pct_blancs_vot;pct_nuls_ins;pct_nuls_vot;pct_exprimes_ins;pct_exprimes_vot;voix;pct_voix_ins;pct_voix_exprimes;date_integration_gold
69-42;2017_T2;CAND_002;416;59;357;39;6;312;14.18;85.82;9.38;10.92;1.44;1.68;75.0;87.39;121;29.09;38.78;2026-03-24T19:55:58.226396
69-43;2017_T2;CAND_001;6493;1113;5380;419;87;4874;17.14;82.86;6.45;7.79;1.34;1.62;75.07;90.59;3739;57.59;76.71;2026-03-24T19:55:58.226396
69-43;2017_T2;CAND_002;6493;1113;5380;419;87;4874;17.14;82.86;6.45;7.79;1.34;1.62;75.07;90.59;1135;17.48;23.29;2026-03-24T19:55:58.226396
69-44;2017_T2;CAND_001;4299;979;3320;273;58;2989;22.77;77.23;6.35;8.22;1.35;1.75;69.53;90.03;2419;56.27;80.93;2026-03-24T19:55:58.226396
69-44;2017_T2;CAND_002;4299;979;3320;273;58;2989;22.77;77.23;6.35;8.22;1.35;1.75;69.53;90.03;570;13.26;19.07;2026-03-24T19:55:58.226396
69-45;2017_T2;CAND_001;887;160;727;57;18;652;18.04;81.96;6.43;7.84;2.03;2.48;73.51;89.68;378;42.62;57.98;2026-03-24T19:55:58.226396
69-45;2017_T2;CAND_002;887;160;727;57;18;652;18.04;81.96;6.43;7.84;2.03;2.48;73.51;89.68;274;30.89;42.02;2026-03-24T19:55:58.226396
69-46;2017_T2;CAND_001;3687;670;3017;274;52;2691;18.17;81.83;7.43;9.08;1.41;1.72;72.99;89.19;2063;55.95;76.66;2026-03-24T19:55:58.226396
69-46;2017_T2;CAND_002;3687;670;3017;274;52;2691;18.17;81.83;7.43;9.08;1.41;1.72;72.99;89.19;628;17.03;23.34;2026-03-24T19:55:58.226396
69-47;2017_T2;CAND_001;710;154;556;41;15;500;21.69;78.31;5.77;7.37;2.11;2.7;70.42;89.93;390;54.93;78.0;2026-03-24T19:55:58.226396
69-47;2017_T2;CAND_002;710;154;556;41;15;500;21.69;78.31;5.77;7.37;2.11;2.7;70.42;89.93;110;15.49;22.0;2026-03-24T19:55:58.226396
69-48;2017_T2;CAND_001;1058;177;881;89;14;778;16.73;83.27;8.41;10.1;1.32;1.59;73.53;88.31;464;43.86;59.64;2026-03-24T19:55:58.226396
69-48;2017_T2;CAND_002;1058;177;881;89;14;778;16.73;83.27;8.41;10.1;1.32;1.59;73.53;88.31;314;29.68;40.36;2026-03-24T19:55:58.226396
69-49;2017_T2;CAND_001;2286;529;1757;178;34;1545;23.14;76.86;7.79;10.13;1.49;1.94;67.59;87.93;1127;49.3;72.94;2026-03-24T19:55:58.226396
