id_commune;code_departement;libelle_departement;code_commune;libelle_commune
69-240;69;Rhône;240;Saint-Vincent-de-Reins
69-241;69;Rhône;241;Taluyers
69-242;69;Rhône;242;Taponas
69-243;69;Rhône;243;Tarare
69-244;69;Rhône;244;Tassin-la-Demi-Lune
69-245;69;Rhône;245;Ternand
69-246;69;Rhône;246;Theizé
69-248;69;Rhône;248;Thizy-Les-Bourgs
69-249;69;Rhône;249;Thurins
69-250;69;Rhône;250;La Tour-de-Salvagny
69-251;69;Rhône;251;Trades
69-252;69;Rhône;252;Trèves
69-253;69;Rhône;253;Tupin-et-Semons
69-254;69;Rhône;254;Valsonne
69-255;69;Rhône;255;Vaugneray
69-256;69;Rhône;256;Vaulx-en-Velin
69-257;69;Rhône;257;Vaux-en-Beaujolais
69-258;69;Rhône;258;Vauxrenard
69-259;69;Rhône;259;Vénissieux
69-260;69;Rhône;260;Vernaison
69-261;69;Rhône;261;Vernay
69-263;69;Rhône;263;Villechenève
69-264;69;Rhône;264;Villefranche-sur-Saône
69-265;69;Rhône;265;Ville-sur-Jarnioux
69-266;69;Rhône;266;Villeurbanne
69-267;69;Rhône;267;Villié-Morgon
69-268;69;Rhône;268;Vourles
69-269;69;Rhône;269;Yzeron
69-270;69;Rhône;270;Chaponnay
69-271;69;Rhône;271;Chassieu
69-272;69;Rhône;272;Communay
69-273;69;Rhône;273;Corbas
69-275;69;Rhône;275;Décines-Charpieu
69-276;69;Rhône;276;Feyzin
69-277;69;Rhône;277;Genas
69-278;69;Rhône;278;Genay
69-279;69;Rhône;279;Jonage
69-280;69;Rhône;280;Jons
69-281;69;Rhône;281;Marennes
69-282;69;Rhône;282;Meyzieu
69-283;69;Rhône;283;Mions
69-284;69;Rhône;284;Montanay
69-285;69;Rhône;285;Pusignan
69-286;69;Rhône;286;Rillieux-la-Pape
69-287;69;Rhône;287;Saint-Bonnet-de-Mure
69-288;69;Rhône;288;Saint-Laurent-de-Mure
69-289;69;Rhône;289;Saint-Pierre-de-Chandieu
69-290;69;Rhône;290;Saint-Priest
69-291;69;Rhône;291;Saint-Symphorien-d'Ozon
69-292;69;Rhône;292;Sathonay-Camp
69-293;69;Rhône;293;Sathonay-Village
69-294;69;Rhône;294;Sérézin-du-Rhône
69-295;69;Rhône;295;Simandres
69-296;69;Rhône;296;Solaize
69-297;69;Rhône;297;Ternay
69-298;69;Rhône;298;Toussieu
69-299;69;Rhône;299;Colombier-Saugnieu
69-19;69;Rhône;19;Belleville-en-Beaujolais
69-135;69;Rhône;135;Deux-Grosnes
69-157;69;Rhône;157;Vindry-sur-Turdine
69-179;69;Rhône;179;Beauvallon
