id_commune;id_election;inscrits;abstentions;votants;blancs;nuls;blancs_et_nuls;exprimes;pct_abs_ins;pct_vot_ins;pct_blancs_ins;pct_blancs_vot;pct_nuls_ins;pct_nuls_vot;pct_blancs_et_nuls_ins;pct_blancs_et_nuls_vot;pct_exprimes_ins;pct_exprimes_vot;date_integration_gold
69228;2022_T2;3282;633;2649;167;48;215;2434;19.29;80.71;5.09;6.3;1.46;1.81;6.55;8.12;74.16;91.88;2026-03-28T02:12:43.523187
69229;2022_T2;554;122;432;32;8;40;392;22.02;77.98;5.78;7.41;1.44;1.85;7.22;9.26;70.76;90.74;2026-03-28T02:12:43.523187
69230;2022_T2;272;57;215;11;4;15;200;20.96;79.04;4.04;5.12;1.47;1.86;5.51;6.98;73.53;93.02;2026-03-28T02:12:43.523187
69231;2022_T2;2121;515;1606;132;28;160;1446;24.28;75.72;6.22;8.22;1.32;1.74;7.54;9.96;68.18;90.04;2026-03-28T02:12:43.523187
69233;2022_T2;962;178;784;46;13;59;725;18.5;81.5;4.78;5.87;1.35;1.66;6.13;7.53;75.36;92.47;2026-03-28T02:12:43.523187
69234;2022_T2;1284;235;1049;58;19;77;972;18.3;81.7;4.52;5.53;1.48;1.81;6.0;7.34;75.7;92.66;2026-03-28T02:12:43.523187
69235;2022_T2;1362;281;1081;76;31;107;974;20.63;79.37;5.58;7.03;2.28;2.87;7.86;9.9;71.51;90.1;2026-03-28T02:12:43.523187
69236;2022_T2;405;85;320;28;7;35;285;20.99;79.01;6.91;8.75;1.73;2.19;8.64;10.94;70.37;89.06;2026-03-28T02:12:43.523187
69238;2022_T2;2775;718;2057;118;43;161;1896;25.87;74.13;4.25;5.74;1.55;2.09;5.8;7.83;68.32;92.17;2026-03-28T02:12:43.523187
69239;2022_T2;957;197;760;43;8;51;709;20.59;79.41;4.49;5.66;0.84;1.05;5.33;6.71;74.09;93.29;2026-03-28T02:12:43.523187
69240;2022_T2;535;123;412;19;9;28;384;22.99;77.01;3.55;4.61;1.68;2.18;5.23;6.8;71.78;93.2;2026-03-28T02:12:43.523187
69241;2022_T2;1987;431;1556;78;17;95;1461;21.69;78.31;3.93;5.01;0.86;1.09;4.78;6.11;73.53;93.89;2026-03-28T02:12:43.523187
69242;2022_T2;758;198;560;34;2;36;524;26.12;73.88;4.49;6.07;0.26;0.36;4.75;6.43;69.13;93.57;2026-03-28T02:12:43.523187
69243;2022_T2;6708;2267;4441;256;91;347;4094;33.8;66.2;3.82;5.76;1.36;2.05;5.17;7.81;61.03;92.19;2026-03-28T02:12:43.523187
69244;2022_T2;15278;3577;11701;528;154;682;11019;23.41;76.59;3.46;4.51;1.01;1.32;4.46;5.83;72.12;94.17;2026-03-28T02:12:43.523187
69245;2022_T2;591;108;483;37;9;46;437;18.27;81.73;6.26;7.66;1.52;1.86;7.78;9.52;73.94;90.48;2026-03-28T02:12:43.523187
