id_commune;id_election;id_candidat;id_nuance;voix;pct_voix_ins;pct_voix_exprimes;date_integration_gold
69125;2012_T1;CAND_007;DIV;0;0.0;0.0;2026-04-01T19:19:28.745445
69125;2012_T1;CAND_008;MODEM;78;11.32;12.44;2026-04-01T19:19:28.745445
69125;2012_T1;CAND_009;DLF;14;2.03;2.23;2026-04-01T19:19:28.745445
69125;2012_T1;CAND_010;SOC;113;16.4;18.02;2026-04-01T19:19:28.745445
69126;2012_T1;CAND_001;ECO;11;2.06;2.32;2026-04-01T19:19:28.745445
69126;2012_T1;CAND_002;FN;76;14.23;16.03;2026-04-01T19:19:28.745445
69126;2012_T1;CAND_003;UMP;223;41.76;47.05;2026-04-01T19:19:28.745445
69126;2012_T1;CAND_004;FI;21;3.93;4.43;2026-04-01T19:19:28.745445
69126;2012_T1;CAND_005;EXG;2;0.37;0.42;2026-04-01T19:19:28.745445
69126;2012_T1;CAND_006;EXG;1;0.19;0.21;2026-04-01T19:19:28.745445
69126;2012_T1;CAND_007;DIV;0;0.0;0.0;2026-04-01T19:19:28.745445
69126;2012_T1;CAND_008;MODEM;44;8.24;9.28;2026-04-01T19:19:28.745445
69126;2012_T1;CAND_009;DLF;14;2.62;2.95;2026-04-01T19:19:28.745445
69126;2012_T1;CAND_010;SOC;82;15.36;17.3;2026-04-01T19:19:28.745445
69127;2012_T1;CAND_001;ECO;55;2.48;2.87;2026-04-01T19:19:28.745445
69127;2012_T1;CAND_002;FN;272;12.25;14.19;2026-04-01T19:19:28.745445
69127;2012_T1;CAND_003;UMP;679;30.59;35.42;2026-04-01T19:19:28.745445
69127;2012_T1;CAND_004;FI;158;7.12;8.24;2026-04-01T19:19:28.745445
69127;2012_T1;CAND_005;EXG;10;0.45;0.52;2026-04-01T19:19:28.745445
69127;2012_T1;CAND_006;EXG;7;0.32;0.37;2026-04-01T19:19:28.745445
69127;2012_T1;CAND_007;DIV;8;0.36;0.42;2026-04-01T19:19:28.745445
69127;2012_T1;CAND_008;MODEM;235;10.59;12.26;2026-04-01T19:19:28.745445
