id_commune;annee;insee_pop;insee_log
69028;2017;6174;2543
69028;2018;6315;2622
69028;2019;6478;2710
69028;2020;6589;2778
69028;2021;6661;2814
69028;2022;6718;2814
69028;2023;6718;2814
69028;2024;6718;2814
69029;2016;41060;18941
69029;2017;41543;19212
69029;2018;42216;19601
69029;2019;42244;19574
69029;2020;42442;19649
69029;2021;43049;19831
69029;2022;42850;19831
69029;2023;42850;19831
69029;2024;42850;19831
69030;2016;818;396
69030;2017;816;397
69030;2018;813;398
69030;2019;818;399
69030;2020;819;398
69030;2021;826;400
69030;2022;823;400
69030;2023;823;400
69030;2024;823;400
69031;2016;1373;571
69031;2017;1376;583
69031;2018;1377;583
69031;2019;1379;584
69031;2020;1374;583
69031;2021;1376;585
69031;2022;1378;585
69031;2023;1378;585
69031;2024;1378;585
69032;2016;2021;876
69032;2017;1982;869
69032;2018;1990;882
69032;2019;1988;890
69032;2020;2005;907
69032;2021;2076;934
69032;2022;2144;934
69032;2023;2144;934
69032;2024;2144;934
69033;2016;2642;1028
69033;2017;2722;1062
69033;2018;2803;1100
69033;2019;2883;1137
69033;2020;2879;1137
69033;2021;2937;1161
69033;2022;2951;1161
69033;2023;2951;1161
69033;2024;2951;1161
69034;2016;42915;21798
69034;2017;43187;21985
69034;2018;42847;22132
69034;2019;43294;22385
69034;2020;43355;22696
69034;2021;43572;23180
69034;2022;43479;23180
69034;2023;43479;23180
69034;2024;43479;23180
69035;2016;399;242
69035;2017;391;241
69035;2018;383;240
69035;2019;381;240
69035;2020;379;240
69035;2021;376;240
69035;2022;393;240
69035;2023;393;240
69035;2024;393;240
69036;2016;1123;490
69036;2017;1128;498
69036;2018;1133;496
69036;2019;1138;493
69036;2020;1135;494
69036;2021;1138;498
69036;2022;1135;498
69036;2023;1135;498
69036;2024;1135;498
69037;2016;833;450
69037;2017;839;450
69037;2018;836;460
69037;2019;833;449
69037;2020;830;437
69037;2021;831;441
69037;2022;819;441
69037;2023;819;441
69037;2024;819;441
69038;2016;939;515
69038;2017;938;510
69038;2018;938;504
69038;2019;928;502
69038;2020;924;503
69038;2021;919;504
69038;2022;923;504
69038;2023;923;504
69038;2024;923;504
69039;2016;669;341
69039;2017;682;353
69039;2018;688;355
69039;2019;694;357
69039;2020;697;357
69039;2021;700;362
69039;2022;703;362
69039;2023;703;362
69039;2024;703;362
69040;2016;5603;2802
69040;2017;5526;2771
69040;2018;5570;2794
69040;2019;5748;2885
69040;2020;5749;2887
69040;2021;5936;3025
69040;2022;6124;3025
69040;2023;6124;3025
69040;2024;6124;3025
69042;2016;578;237
69042;2017;573;236
69042;2018;568;235
69042;2019;566;236
69042;2020;570;239
69042;2021;568;240
69042;2022;566;240
69042;2023;566;240
69042;2024;566;240
69043;2016;8577;3616
69043;2017;8717;3690
69043;2018;8790;3743
69043;2019;8846;3772
69043;2020;8887;3794
69043;2021;9052;3914
69043;2022;9217;3914
69043;2023;9217;3914
69043;2024;9217;3914
69044;2016;5016;2244
69044;2017;5067;2408
69044;2018;5119;2482
69044;2019;5170;2555
69044;2020;5237;2612
69044;2021;5311;2673
69044;2022;5272;2673
69044;2023;5272;2673
69044;2024;5272;2673
69045;2016;1240;547
69045;2017;1240;553
69045;2018;1243;556
69045;2019;1248;560
69045;2020;1253;564
69045;2021;1265;574
69045;2022;1269;574
69045;2023;1269;574
69045;2024;1269;574
69046;2016;4529;1800
69046;2017;4541;1865
69046;2018;4552;1875
69046;2019;4563;1884
69046;2020;4585;1910
69046;2021;4606;1935
69046;2022;4670;1935
69046;2023;4670;1935
69046;2024;4670;1935
69047;2016;1062;476
69047;2017;1057;481
69047;2018;1054;482
69047;2019;1051;483
69047;2020;1047;484
69047;2021;1039;486
69047;2022;1031;486
69047;2023;1031;486
69047;2024;1031;486
69049;2016;2775;1173
69049;2017;2784;1188
69049;2018;2793;1203
69049;2019;2791;1207
69049;2020;2833;1231
69049;2021;2828;1234
69049;2022;2901;1234
69049;2023;2901;1234
69049;2024;2901;1234
69050;2016;2158;996
69050;2017;2137;992
69050;2018;2117;989
69050;2019;2113;995
69050;2020;2114;1003
69050;2021;2115;1011
69050;2022;2184;1011
69050;2023;2184;1011
69050;2024;2184;1011
69051;2016;1117;474
69051;2017;1116;477
69051;2018;1139;481
69051;2019;1170;491
69051;2020;1200;500
69051;2021;1208;503
69051;2022;1215;503
69051;2023;1215;503
69051;2024;1215;503
69052;2016;4130;1795
69052;2017;4130;1819
69052;2018;4131;1811
69052;2019;4132;1803
69052;2020;4153;1820
69052;2021;4164;1833
69052;2022;4270;1833
69052;2023;4270;1833
69052;2024;4270;1833
69053;2016;551;291
69053;2017;545;290
69053;2018;544;294
69053;2019;543;289
69053;2020;542;285
69053;2021;538;285
69053;2022;534;285
69053;2023;534;285
69053;2024;534;285
69054;2016;327;250
69054;2017;321;249
69054;2018;332;240
69054;2019;343;243
69054;2020;354;246
69054;2021;361;248
69054;2022;365;248
69054;2023;365;248
69054;2024;365;248
69055;2016;1451;614
69055;2017;1453;617
69055;2018;1448;619
69055;2019;1448;623
69055;2020;1505;652
69055;2021;1506;659
69055;2022;1504;659
69055;2023;1504;659
69055;2024;1504;659
69056;2016;2056;819
69056;2017;2063;821
69056;2018;2085;829
69056;2019;2107;836
69056;2020;2080;845
69056;2021;2069;853
69056;2022;2058;853
69056;2023;2058;853
69056;2024;2058;853
69057;2016;545;265
69057;2017;557;266
69057;2018;570;271
69057;2019;582;276
69057;2020;583;276
69057;2021;587;277
