id_commune;annee;id_indicateur_securite;nombre;taux_pour_mille;est_diffuse;complement_info_nombre;complement_info_taux;source_dataset;source_dataset_timestamp;date_refresh
69001;2020;SEC_006;0.0;0.0;diff;0.0;0.0;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2020;SEC_007;0.0;0.0;diff;0.0;0.0;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2020;SEC_008;0.0;0.0;diff;0.0;0.0;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2020;SEC_010;0.0;0.0;diff;0.0;0.0;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2020;SEC_011;2.9444444;1.6853164;ndiff;2.9444444;1.6853164;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2020;SEC_012;0.0;0.0;diff;0.0;0.0;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2020;SEC_013;0.0;0.0;diff;0.0;0.0;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2020;SEC_014;0.0;0.0;diff;0.0;0.0;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2020;SEC_015;2.141791;1.3266523;ndiff;2.141791;1.3266523;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2020;SEC_016;0.0;0.0;diff;0.0;0.0;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2020;SEC_017;2.0;1.7141309;ndiff;2.0;1.7141309;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2020;SEC_018;0.0;0.0;diff;0.0;0.0;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2021;SEC_001;0.0;0.0;diff;0.0;0.0;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2021;SEC_002;3.1969697;3.4469802;ndiff;3.1969697;3.4469802;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2021;SEC_003;4.1804511;4.6269327;ndiff;4.1804511;4.6269327;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2021;SEC_006;0.0;0.0;diff;0.0;0.0;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2021;SEC_007;0.0;0.0;diff;0.0;0.0;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2021;SEC_008;0.0;0.0;diff;0.0;0.0;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2021;SEC_010;0.0;0.0;diff;0.0;0.0;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2021;SEC_011;2.7344633;1.6599958;ndiff;2.7344633;1.6599958;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2021;SEC_012;0.0;0.0;diff;0.0;0.0;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
