id_commune,target_macron_wins_2022_t2,abstentions_2017_t1,abstentions_2017_t2,blancs_2017_t1,blancs_2017_t2,exprimes_2017_t1,exprimes_2017_t2,inscrits_2017_t1,inscrits_2017_t2,insee_log_2021,insee_log_2022,insee_pop_2021,insee_pop_2022,nuls_2017_t1,nuls_2017_t2,pct_abs_ins_2017_t1,pct_abs_ins_2017_t2,pct_blancs_ins_2017_t1,pct_blancs_ins_2017_t2,pct_nuls_ins_2017_t1,pct_nuls_ins_2017_t2,pct_vot_ins_2017_t1,pct_vot_ins_2017_t2,sec_rate_cambriolages_de_logement_2021,sec_rate_cambriolages_de_logement_2022,sec_rate_destructions_et_degradations_volontaires_2021,sec_rate_destructions_et_degradations_volontaires_2022,sec_rate_escroqueries_et_fraudes_aux_moyens_de_paiement_2021,sec_rate_escroqueries_et_fraudes_aux_moyens_de_paiement_2022,sec_rate_trafic_de_stupefiants_2021,sec_rate_trafic_de_stupefiants_2022,sec_rate_usage_de_stupefiants_2021,sec_rate_usage_de_stupefiants_2022,sec_rate_usage_de_stupefiants_afd_2021,sec_rate_usage_de_stupefiants_afd_2022,sec_rate_violences_physiques_hors_cadre_familial_2021,sec_rate_violences_physiques_hors_cadre_familial_2022,sec_rate_violences_physiques_intrafamiliales_2021,sec_rate_violences_physiques_intrafamiliales_2022,sec_rate_violences_sexuelles_2021,sec_rate_violences_sexuelles_2022,sec_rate_vols_avec_armes_2021,sec_rate_vols_avec_armes_2022,sec_rate_vols_d_accessoires_sur_vehicules_2021,sec_rate_vols_d_accessoires_sur_vehicules_2022,sec_rate_vols_dans_les_vehicules_2021,sec_rate_vols_dans_les_vehicules_2022,sec_rate_vols_de_vehicule_2021,sec_rate_vols_de_vehicule_2022,sec_rate_vols_sans_violence_contre_des_personnes_2021,sec_rate_vols_sans_violence_contre_des_personnes_2022,sec_rate_vols_violents_sans_arme_2021,sec_rate_vols_violents_sans_arme_2022,share_arthaud_2017_t1,share_asselineau_2017_t1,share_cheminade_2017_t1,share_dupont_aignan_2017_t1,share_fillon_2017_t1,share_hamon_2017_t1,share_lassalle_2017_t1,share_le_pen_2017_t1,share_le_pen_2017_t2,share_macron_2017_t1,share_macron_2017_t2,share_melenchon_2017_t1,share_poutou_2017_t1,votants_2017_t1,votants_2017_t2
69-243,1,1749.0,1940.0,84.0,428.0,4683.0,4063.0,6558.0,6559.0,5643.0,5643.0,10428.0,10881.0,42.0,128.0,26.67,29.58,1.28,6.53,0.64,1.95,73.33,70.42,4.6078166,5.8483827,10.6444189,8.1793953,5.6578443,6.7089422,0.7671653,0.3375502,3.5481396,2.4813896,1.6302263,1.6542597,4.1235136,5.0546825,1.9179133,3.4004228,1.6302263,2.2975829,0.1021803,0.1055371,1.0621681,1.1839424,1.438435,2.4813896,1.726122,2.1137763,7.8634446,8.2712986,0.2640282,0.3546356,0.79,1.49,0.17,5.49,17.89,4.8,0.81,24.04,37.66,23.04,62.34,20.37,1.09,4809.0,4619.0
69-244,1,2391.0,3035.0,137.0,929.0,11519.0,9865.0,14086.0,14088.0,11560.0,11560.0,22676.0,22819.0,39.0,259.0,16.97,21.54,0.97,6.59,0.28,1.84,83.03,78.46,7.0066361,9.7746898,8.3789028,8.9837416,7.6292115,7.3622858,0.2719703,0.3375502,6.2180279,5.2587756,5.2037396,4.382313,2.4695714,2.366449,2.3813724,2.7170341,0.9701887,1.4023402,0.1021803,0.1055371,1.0142882,1.6214558,4.5422473,7.0555239,1.6316811,2.4102721,8.7316987,8.0196328,0.7937908,0.7011701,0.34,0.79,0.13,4.25,36.68,4.87,0.6,12.35,22.94,27.62,77.06,11.85,0.52,11695.0,11053.0
69-245,1,79.0,91.0,15.0,43.0,449.0,399.0,544.0,544.0,366.0,366.0,724.0,747.0,1.0,11.0,14.52,16.73,2.76,7.9,0.18,2.02,85.48,83.27,5.4772311,5.1599952,3.4469802,3.5081804,4.6269327,5.0485131,0.0,0.0,1.1568634,1.306157,0.0,0.0,1.448111,1.4219906,1.6599958,1.9820933,0.9771534,1.0619796,0.0,0.0,1.0621681,1.1839424,0.0,1.5184457,1.3269747,1.4076726,2.0730405,2.2745888,0.0,0.0,0.45,0.22,0.67,5.79,23.39,3.79,0.89,25.61,38.85,22.94,61.15,15.37,0.89,465.0,453.0
69-246,1,164.0,204.0,12.0,92.0,801.0,668.0,981.0,981.0,594.0,594.0,1309.0,1293.0,4.0,17.0,16.72,20.8,1.22,9.38,0.41,1.73,83.28,79.2,5.4772311,5.1599952,3.4469802,3.5081804,4.6269327,5.0485131,0.0,0.3375502,0.0,1.306157,0.0,0.0,1.448111,1.4219906,1.6599958,1.9820933,0.9771534,1.0619796,0.0,0.0,0.0,1.1839424,1.6728256,1.5184457,1.3269747,1.4076726,2.0730405,2.2745888,0.0,0.0,0.12,0.62,0.12,4.37,31.21,5.37,1.37,17.23,29.94,23.35,70.06,15.23,1.0,817.0,777.0
69-248,0,718.0,823.0,77.0,282.0,3096.0,2726.0,3919.0,3919.0,3463.0,3463.0,5869.0,5794.0,28.0,88.0,18.32,21.0,1.96,7.2,0.71,2.25,81.68,79.0,5.4866011,6.064138,5.9635372,7.2488781,5.2819901,5.5229548,0.2719703,0.3375502,1.1568634,1.306157,1.1494177,1.7948427,1.3630942,1.3807387,5.1116033,3.4518467,0.9771534,1.035554,0.0,0.0,1.0621681,1.1839424,1.1927074,1.2081464,1.3269747,2.4162927,3.4077356,2.5888851,0.2640282,0.3546356,0.71,1.07,0.29,7.49,19.48,3.78,1.1,28.71,43.58,20.67,56.42,15.73,0.97,3201.0,3096.0
69-249,1,274.0,363.0,30.0,157.0,1870.0,1630.0,2178.0,2178.0,1450.0,1450.0,3131.0,3268.0,4.0,28.0,12.58,16.67,1.38,7.21,0.18,1.29,87.42,83.33,5.5166111,8.2749166,4.1520281,3.6719706,5.748962,7.3439412,0.0,0.0,1.1568634,1.306157,1.1494177,1.7948427,1.448111,1.4219906,1.6599958,4.5899633,0.9771534,1.0619796,0.0,0.0,1.0621681,1.1839424,1.6728256,1.5184457,1.3269747,1.4076726,2.0730405,1.8359853,0.2640282,0.3546356,0.21,0.7,0.11,7.7,25.45,4.65,0.8,22.73,34.79,23.96,65.21,13.1,0.59,1904.0,1815.0
69-250,1,432.0,575.0,28.0,212.0,2734.0,2362.0,3201.0,3201.0,2026.0,2026.0,4272.0,4460.0,7.0,52.0,13.5,17.96,0.87,6.62,0.22,1.62,86.5,82.04,21.7222665,8.8863817,6.3202247,4.4843049,6.3202247,5.8295964,0.2719703,0.3375502,34.8782772,69.5067265,1.1494177,1.7948427,1.448111,1.4219906,1.6599958,1.9820933,0.9771534,1.0619796,0.0,0.0,1.0621681,1.1839424,3.2771536,2.4663677,1.4044944,1.3452915,4.9157303,6.0538117,0.2640282,0.3546356,0.22,0.66,0.22,3.69,39.98,4.5,0.51,11.3,22.48,27.76,77.52,10.75,0.4,2769.0,2626.0
69-252,1,123.0,134.0,18.0,56.0,444.0,385.0,587.0,587.0,301.0,301.0,735.0,723.0,2.0,12.0,20.95,22.83,3.07,9.54,0.34,2.04,79.05,77.17,5.4772311,5.1599952,3.4469802,3.5081804,4.6269327,5.0485131,0.2719703,0.3375502,1.1568634,1.306157,0.0,0.0,0.0,0.0,1.6599958,1.9820933,0.9771534,1.0619796,0.0,0.0,1.0621681,1.1839424,1.6728256,1.5184457,1.3269747,1.4076726,2.0730405,2.2745888,0.0,0.0,0.9,1.13,0.23,9.23,11.26,6.53,2.25,22.75,36.88,23.65,63.12,21.4,0.68,464.0,453.0
69-253,1,99.0,112.0,9.0,28.0,399.0,343.0,507.0,496.0,285.0,285.0,647.0,650.0,0.0,13.0,19.53,22.58,1.78,5.65,0.0,2.62,80.47,77.42,5.4772311,5.1599952,3.4469802,3.5081804,4.6269327,5.0485131,0.0,0.0,0.0,1.306157,0.0,0.0,1.448111,1.4219906,0.0,0.0,0.9771534,1.0619796,0.0,0.0,1.0621681,1.1839424,1.6728256,1.5184457,1.3269747,1.4076726,2.0730405,2.2745888,0.0,0.0,0.0,1.0,0.25,8.02,23.81,5.76,0.75,25.56,36.44,21.05,63.56,13.03,0.75,408.0,384.0
69-254,0,103.0,120.0,9.0,51.0,470.0,402.0,587.0,588.0,471.0,471.0,983.0,994.0,5.0,15.0,17.55,20.41,1.53,8.67,0.85,2.55,82.45,79.59,5.4772311,5.1599952,3.4469802,3.5081804,4.6269327,5.0485131,0.2719703,0.3375502,1.1568634,1.306157,1.1494177,1.7948427,1.448111,1.4219906,1.6599958,1.9820933,0.9771534,1.0619796,0.0,0.0,0.0,0.0,1.6728256,1.5184457,0.0,0.0,2.0730405,2.2745888,0.0,0.0,1.28,0.85,0.0,7.23,18.94,3.62,0.64,31.06,47.01,18.09,52.99,16.6,1.7,484.0,468.0
