id_commune;code_departement;code_commune;code_insee_commune;libelle_commune
69078;69;078;69078;Duerne
69080;69;080;69080;Échalas
69081;69;081;69081;Écully
69082;69;082;69082;Émeringes
69083;69;083;69083;Éveux
69084;69;084;69084;Fleurie
69085;69;085;69085;Fleurieu-sur-Saône
69086;69;086;69086;Fleurieux-sur-l'Arbresle
69087;69;087;69087;Fontaines-Saint-Martin
69088;69;088;69088;Fontaines-sur-Saône
69089;69;089;69089;Francheville
69090;69;090;69090;Frontenas
69091;69;091;69091;Givors
69092;69;092;69092;Gleizé
69093;69;093;69093;Grandris
69094;69;094;69094;Grézieu-la-Varenne
69095;69;095;69095;Grézieu-le-Marché
69096;69;096;69096;Grigny
69097;69;097;69097;Les Haies
69098;69;098;69098;Les Halles
69099;69;099;69099;Haute-Rivoire
69100;69;100;69100;Irigny
69102;69;102;69102;Joux
69103;69;103;69103;Juliénas
69104;69;104;69104;Jullié
69105;69;105;69105;Lacenas
69106;69;106;69106;Lachassagne
69107;69;107;69107;Lamure-sur-Azergues
69108;69;108;69108;Lancié
69109;69;109;69109;Lantignié
69110;69;110;69110;Larajasse
69111;69;111;69111;Légny
69112;69;112;69112;Lentilly
69113;69;113;69113;Létra
69114;69;114;69114;Liergues
69115;69;115;69115;Limas
69116;69;116;69116;Limonest
69117;69;117;69117;Lissieu
69118;69;118;69118;Loire-sur-Rhône
69119;69;119;69119;Longes
69120;69;120;69120;Longessaigne
69121;69;121;69121;Lozanne
69122;69;122;69122;Lucenay
69123;69;123;69123;Lyon
69124;69;124;69124;Marchampt
69125;69;125;69125;Marcilly-d'Azergues
69126;69;126;69126;Marcy
69127;69;127;69127;Marcy-l'Étoile
69130;69;130;69130;Meaux-la-Montagne
69131;69;131;69131;Messimy
69132;69;132;69132;Meys
69133;69;133;69133;Millery
69134;69;134;69134;Moiré
69135;69;135;69135;Deux-Grosnes
69135;69;135;69135;Monsols
69136;69;136;69136;Montagny
69137;69;137;69137;Montmelas-Saint-Sorlin
69138;69;138;69138;Montromant
69139;69;139;69139;Montrottier
69140;69;140;69140;Morancé
69141;69;141;69141;Mornant
69142;69;142;69142;La Mulatière
69143;69;143;69143;Neuville-sur-Saône
69145;69;145;69145;Odenas
69148;69;148;69148;Orliénas
69149;69;149;69149;Oullins
69151;69;151;69151;Le Perréon
69153;69;153;69153;Poleymieux-au-Mont-d'Or
69154;69;154;69154;Pollionnay
69155;69;155;69155;Pomeys
69156;69;156;69156;Pommiers
69157;69;157;69157;Vindry-sur-Turdine
69157;69;157;69157;Pontcharra-sur-Turdine
69160;69;160;69160;Poule-les-Écharmeaux
69161;69;161;69161;Propières
69162;69;162;69162;Quincié-en-Beaujolais
69163;69;163;69163;Quincieux
69164;69;164;69164;Ranchal
69165;69;165;69165;Régnié-Durette
69166;69;166;69166;Riverie
69167;69;167;69167;Rivolet
69168;69;168;69168;Rochetaillée-sur-Saône
69169;69;169;69169;Ronno
69170;69;170;69170;Rontalon
69171;69;171;69171;Sain-Bel
69172;69;172;69172;Salles-Arbuissonnas-en-Beaujolais
69173;69;173;69173;Sarcey
69174;69;174;69174;Les Sauvages
69175;69;175;69175;Savigny
69176;69;176;69176;Soucieu-en-Jarrest
69177;69;177;69177;Sourcieux-les-Mines
69178;69;178;69178;Souzy
69179;69;179;69179;Saint-Andéol-le-Château
69179;69;179;69179;Beauvallon
69180;69;180;69180;Saint-André-la-Côte
69181;69;181;69181;Saint-Appolinaire
69182;69;182;69182;Saint-Bonnet-des-Bruyères
69183;69;183;69183;Saint-Bonnet-le-Troncy
69184;69;184;69184;Sainte-Catherine
69186;69;186;69186;Saint-Clément-de-Vers
69187;69;187;69187;Saint-Clément-les-Places
69188;69;188;69188;Saint-Clément-sur-Valsonne
69189;69;189;69189;Sainte-Colombe
69190;69;190;69190;Sainte-Consorce
69191;69;191;69191;Saint-Cyr-au-Mont-d'Or
69192;69;192;69192;Saint-Cyr-le-Chatoux
69193;69;193;69193;Saint-Cyr-sur-le-Rhône
69194;69;194;69194;Saint-Didier-au-Mont-d'Or
69196;69;196;69196;Saint-Didier-sur-Beaujeu
69197;69;197;69197;Saint-Étienne-des-Oullières
69198;69;198;69198;Saint-Étienne-la-Varenne
69199;69;199;69199;Saint-Fons
69200;69;200;69200;Saint-Forgeux
69201;69;201;69201;Sainte-Foy-l'Argentière
69202;69;202;69202;Sainte-Foy-lès-Lyon
69203;69;203;69203;Saint-Genis-l'Argentière
69204;69;204;69204;Saint-Genis-Laval
69205;69;205;69205;Saint-Genis-les-Ollières
69206;69;206;69206;Saint-Georges-de-Reneins
69207;69;207;69207;Saint-Germain-au-Mont-d'Or
69208;69;208;69208;Saint-Germain-Nuelles
69209;69;209;69209;Saint-Igny-de-Vers
69212;69;212;69212;Saint-Jean-des-Vignes
69214;69;214;69214;Saint-Jean-la-Bussière
69215;69;215;69215;Saint-Julien
69216;69;216;69216;Saint-Julien-sur-Bibost
69217;69;217;69217;Saint-Just-d'Avray
69218;69;218;69218;Saint-Lager
69219;69;219;69219;Saint-Laurent-d'Agny
69220;69;220;69220;Saint-Laurent-de-Chamousset
69225;69;225;69225;Saint-Marcel-l'Éclairé
69227;69;227;69227;Saint-Martin-en-Haut
69228;69;228;69228;Chabanière
69228;69;228;69228;Saint-Maurice-sur-Dargoire
69229;69;229;69229;Saint-Nizier-d'Azergues
69230;69;230;69230;Sainte-Paule
69231;69;231;69231;Saint-Pierre-la-Palud
69233;69;233;69233;Saint-Romain-au-Mont-d'Or
69234;69;234;69234;Saint-Romain-de-Popey
69235;69;235;69235;Saint-Romain-en-Gal
69236;69;236;69236;Saint-Romain-en-Gier
69238;69;238;69238;Saint-Symphorien-sur-Coise
69239;69;239;69239;Saint-Vérand
69240;69;240;69240;Saint-Vincent-de-Reins
69241;69;241;69241;Taluyers
69242;69;242;69242;Taponas
69243;69;243;69243;Tarare
69244;69;244;69244;Tassin-la-Demi-Lune
69245;69;245;69245;Ternand
69246;69;246;69246;Theizé
69248;69;248;69248;Thizy-les-Bourgs
69249;69;249;69249;Thurins
69250;69;250;69250;La Tour-de-Salvagny
69252;69;252;69252;Trèves
69253;69;253;69253;Tupin-et-Semons
69254;69;254;69254;Valsonne
69255;69;255;69255;Vaugneray
69256;69;256;69256;Vaulx-en-Velin
69257;69;257;69257;Vaux-en-Beaujolais
69258;69;258;69258;Vauxrenard
69259;69;259;69259;Vénissieux
69260;69;260;69260;Vernaison
69261;69;261;69261;Vernay
69263;69;263;69263;Villechenève
69264;69;264;69264;Villefranche-sur-Saône
69265;69;265;69265;Ville-sur-Jarnioux
69266;69;266;69266;Villeurbanne
69267;69;267;69267;Villié-Morgon
69268;69;268;69268;Vourles
69269;69;269;69269;Yzeron
69270;69;270;69270;Chaponnay
69271;69;271;69271;Chassieu
69272;69;272;69272;Communay
69273;69;273;69273;Corbas
69275;69;275;69275;Décines-Charpieu
69276;69;276;69276;Feyzin
69277;69;277;69277;Genas
69278;69;278;69278;Genay
69279;69;279;69279;Jonage
69280;69;280;69280;Jons
69281;69;281;69281;Marennes
69282;69;282;69282;Meyzieu
69283;69;283;69283;Mions
69284;69;284;69284;Montanay
69285;69;285;69285;Pusignan
69286;69;286;69286;Rillieux-la-Pape
69287;69;287;69287;Saint-Bonnet-de-Mure
69288;69;288;69288;Saint-Laurent-de-Mure
69289;69;289;69289;Saint-Pierre-de-Chandieu
69290;69;290;69290;Saint-Priest
69291;69;291;69291;Saint-Symphorien-d'Ozon
69292;69;292;69292;Sathonay-Camp
69293;69;293;69293;Sathonay-Village
69294;69;294;69294;Sérézin-du-Rhône
69295;69;295;69295;Simandres
69296;69;296;69296;Solaize
69297;69;297;69297;Ternay
69298;69;298;69298;Toussieu
69299;69;299;69299;Colombier-Saugnieu
