id_commune;id_year;pct_revenus_activite;pct_revenus_salaires_chomage;pct_revenus_activite_non_salariee;pct_pensions_retraites;pct_revenus_patrimoine;pct_prestations_sociales;pct_prestations_familiales;pct_minima_sociaux;pct_prestations_logement;pct_impots;pct_revenus_non_salaries
69021;2019;;;73.6;26.3;13.3;3.4;2.0;0.9;0.5;-16.6;5.6
69021;2020;;;73.1;26.5;12.5;3.5;1.9;1.1;0.5;-15.6;5.8
69021;2021;;;74.2;26.4;12.7;3.1;1.8;0.9;0.4;-16.4;6.2
69022;2014;;;;;;;;;;;
69022;2015;;;;;;;;;;;
69022;2016;;;;;;;;;;;
69022;2017;;;;;;;;;;;
69022;2018;;;;;;;;;;;
69022;2019;;;;;;;;;;;
69022;2020;;;;;;;;;;;
69022;2021;;;;;;;;;;;
69023;2014;;;;;;;;;;;
69023;2015;;;;;;;;;;;
69023;2016;;;;;;;;;;;
69023;2017;;;;;;;;;;;
69023;2018;;;;;;;;;;;
69023;2019;;;;;;;;;;;
69023;2020;;;;;;;;;;;
69023;2021;;;;;;;;;;;
69024;2014;72.6;67.0;;28.7;11.1;3.8;2.2;0.8;0.8;-16.2;5.6
69024;2015;;;73.2;29.1;10.9;3.6;2.0;0.9;0.8;-16.8;4.1
69024;2016;;;74.7;27.8;11.1;3.3;1.8;0.8;0.6;-16.9;5.3
69024;2017;;;74.9;28.6;10.6;3.2;1.7;0.9;0.6;-17.3;5.6
69024;2018;;;75.3;28.7;11.3;3.1;1.7;0.9;0.5;-18.4;6.2
69024;2019;;;74.6;29.6;10.0;3.4;1.7;1.2;0.5;-17.6;5.6
69024;2020;;;74.0;30.0;9.9;3.4;1.8;1.1;0.5;-17.3;5.4
69024;2021;;;75.5;29.1;9.5;3.1;1.7;1.0;0.4;-17.2;5.9
69026;2014;;;;;;;;;;;
69026;2015;;;;;;;;;;;
69026;2016;;;;;;;;;;;
69026;2017;;;;;;;;;;;
69026;2018;;;;;;;;;;;
69026;2019;;;;;;;;;;;
69026;2020;;;;;;;;;;;
69026;2021;;;;;;;;;;;
69027;2014;74.7;70.6;;28.0;11.4;3.9;2.1;0.9;0.9;-18.0;4.1
69027;2015;;;74.8;28.3;11.3;3.8;2.0;0.9;0.9;-18.2;4.1
69027;2016;;;75.4;28.3;10.5;3.8;1.9;1.1;0.9;-18.0;4.5
69027;2017;;;75.5;28.2;10.5;3.8;1.9;1.1;0.8;-18.0;4.0
69027;2018;;;77.1;27.5;10.8;3.8;1.8;1.2;0.8;-19.2;4.0
69027;2019;;;76.2;27.6;10.6;4.1;1.8;1.5;0.8;-18.5;3.9
69027;2020;;;76.5;27.5;9.3;4.4;1.8;1.8;0.8;-17.7;3.8
69027;2021;;;77.0;26.6;10.7;3.7;1.6;1.5;0.6;-18.0;3.9
69028;2014;80.1;75.0;;22.7;15.2;2.7;1.9;0.3;0.5;-20.7;5.1
69028;2015;;;81.1;22.4;14.7;2.6;1.7;0.4;0.5;-20.8;5.0
69028;2016;;;81.5;22.4;13.8;2.6;1.6;0.5;0.5;-20.3;5.2
69028;2017;;;82.7;22.1;12.7;2.8;1.7;0.6;0.5;-20.3;4.7
69028;2018;;;83.5;21.6;14.0;2.7;1.6;0.6;0.5;-21.8;4.7
69028;2019;;;83.5;21.1;14.0;2.9;1.5;0.9;0.5;-21.5;4.3
69028;2020;;;81.9;21.3;14.5;2.7;1.4;0.9;0.4;-20.4;3.6
69028;2021;;;82.7;21.4;14.3;2.4;1.4;0.7;0.3;-20.8;4.1
69029;2014;72.9;68.5;;28.1;9.6;6.7;2.9;1.9;1.9;-17.3;4.4
69029;2015;;;72.9;28.1;9.8;6.7;2.8;2.0;1.9;-17.5;4.4
69029;2016;;;73.8;27.6;8.7;7.1;2.8;2.3;2.0;-17.2;4.2
69029;2017;;;73.9;27.4;8.8;7.1;2.9;2.3;1.9;-17.2;4.2
69029;2018;;;75.1;27.4;8.6;7.2;2.9;2.5;1.8;-18.3;4.5
69029;2019;;;74.6;26.9;8.3;7.6;2.8;3.0;1.8;-17.4;4.4
69029;2020;;;74.2;26.5;7.9;7.8;2.8;3.3;1.7;-16.4;4.1
69029;2021;;;76.3;25.9;7.5;7.0;2.6;2.9;1.5;-16.7;4.7
69030;2014;;;;;;;;;;;
69030;2015;;;;;;;;;;;
69030;2016;;;;;;;;;;;
69030;2017;;;;;;;;;;;
69030;2018;;;;;;;;;;;
69030;2019;;;;;;;;;;;
69030;2020;;;;;;;;;;;
69030;2021;;;;;;;;;;;
69031;2014;;;;;;;;;;;
69031;2015;;;;;;;;;;;
69031;2016;;;;;;;;;;;
69031;2017;;;;;;;;;;;
69031;2018;;;;;;;;;;;
69031;2019;;;;;;;;;;;
69031;2020;;;;;;;;;;;
69031;2021;;;;;;;;;;;
69032;2014;;;;;;;;;;;
69032;2015;;;;;;;;;;;
69032;2016;;;;;;;;;;;
69032;2017;;;;;;;;;;;
69032;2018;;;82.4;20.9;10.9;3.4;2.1;0.8;0.5;-17.6;5.9
69032;2019;;;83.7;19.8;10.9;3.1;1.8;0.9;0.4;-17.5;6.4
69032;2020;;;82.6;21.6;9.1;3.3;1.8;1.1;0.4;-16.6;5.5
69032;2021;;;78.0;18.1;19.0;2.5;1.4;0.8;0.3;-17.6;5.1
69033;2014;86.4;78.3;;19.6;13.8;2.0;1.5;0.3;0.2;-21.8;8.1
69033;2015;;;86.3;20.2;14.1;1.9;1.4;0.3;0.2;-22.5;7.1
69033;2016;;;86.2;20.4;13.7;1.8;1.3;0.4;0.2;-22.1;6.9
69033;2017;;;88.0;19.8;13.0;1.7;1.1;0.4;0.2;-22.5;7.5
69033;2018;;;89.6;20.4;12.8;1.6;1.1;0.3;0.2;-24.4;6.4
69033;2019;;;68.4;16.6;36.8;1.4;0.9;0.4;0.1;-23.2;5.3
69033;2020;;;87.3;21.3;13.2;1.9;1.1;0.6;0.2;-23.7;6.6
69033;2021;;;87.0;20.9;13.8;1.6;0.9;0.5;0.2;-23.3;7.5
69034;2014;74.1;68.2;;29.7;14.3;3.5;1.6;0.9;1.0;-21.6;5.9
69034;2015;;;74.1;29.1;15.2;3.4;1.5;0.9;1.0;-21.8;5.7
69034;2016;;;75.1;29.0;14.0;3.5;1.5;1.1;0.9;-21.6;5.9
69034;2017;;;76.0;28.6;13.8;3.4;1.4;1.1;0.9;-21.8;6.2
69034;2018;;;76.9;27.9;15.2;3.3;1.4;1.1;0.8;-23.3;6.2
69034;2019;;;77.1;27.8;14.2;3.6;1.4;1.4;0.8;-22.7;5.9
69034;2020;;;74.9;26.9;16.4;3.6;1.3;1.5;0.8;-21.8;5.3
69034;2021;;;78.2;27.0;13.3;3.3;1.2;1.4;0.7;-21.8;5.9
69035;2014;;;;;;;;;;;
69035;2015;;;;;;;;;;;
69035;2016;;;;;;;;;;;
69035;2017;;;;;;;;;;;
69035;2018;;;;;;;;;;;
69035;2019;;;;;;;;;;;
69035;2020;;;;;;;;;;;
69035;2021;;;;;;;;;;;
69036;2014;;;;;;;;;;;
69036;2015;;;;;;;;;;;
69036;2016;;;;;;;;;;;
69036;2017;;;;;;;;;;;
69036;2018;;;;;;;;;;;
69036;2019;;;;;;;;;;;
69036;2020;;;;;;;;;;;
69036;2021;;;;;;;;;;;
69037;2014;;;;;;;;;;;
69037;2015;;;;;;;;;;;
69037;2016;;;;;;;;;;;
69037;2017;;;;;;;;;;;
69037;2018;;;;;;;;;;;
69037;2019;;;;;;;;;;;
69037;2020;;;;;;;;;;;
69037;2021;;;;;;;;;;;
69038;2014;;;;;;;;;;;
69038;2015;;;;;;;;;;;
69038;2016;;;;;;;;;;;
69038;2017;;;;;;;;;;;
69038;2018;;;;;;;;;;;
69038;2019;;;;;;;;;;;
69038;2020;;;;;;;;;;;
69038;2021;;;;;;;;;;;
69039;2014;;;;;;;;;;;
69039;2015;;;;;;;;;;;
69039;2016;;;;;;;;;;;
69039;2017;;;;;;;;;;;
69039;2018;;;;;;;;;;;
69039;2019;;;;;;;;;;;
69039;2020;;;;;;;;;;;
69039;2021;;;;;;;;;;;
69040;2014;72.7;68.1;;30.5;13.3;3.7;1.8;0.9;1.0;-20.2;4.6
69040;2015;;;72.1;30.4;14.1;3.6;1.7;1.0;0.9;-20.2;4.3
69040;2016;;;72.5;30.8;13.4;3.6;1.5;1.1;0.9;-20.3;4.4
69040;2017;;;73.3;30.0;13.2;3.7;1.6;1.2;0.9;-20.2;4.5
69040;2018;;;74.3;30.2;13.1;3.6;1.6;1.2;0.8;-21.2;3.8
69040;2019;;;73.8;29.7;13.3;4.0;1.5;1.6;0.9;-20.8;3.6
69040;2020;;;75.2;28.8;11.8;4.4;1.6;1.9;0.9;-20.2;3.3
69040;2021;;;77.6;27.7;10.7;4.0;1.5;1.7;0.8;-20.0;3.9
69042;2014;;;;;;;;;;;
69042;2015;;;;;;;;;;;
69042;2016;;;;;;;;;;;
69042;2017;;;;;;;;;;;
69042;2018;;;;;;;;;;;
69042;2019;;;;;;;;;;;
69042;2020;;;;;;;;;;;
69042;2021;;;;;;;;;;;
69043;2014;78.3;72.1;;26.7;14.1;2.6;1.7;0.4;0.5;-21.7;6.2
69043;2015;;;77.3;26.7;14.5;2.5;1.5;0.4;0.5;-21.0;5.8
69043;2016;;;78.1;27.3;13.7;2.5;1.4;0.5;0.5;-21.6;5.9
69043;2017;;;77.7;27.3;14.2;2.4;1.4;0.5;0.5;-21.6;5.2
69043;2018;;;78.5;26.1;16.3;2.3;1.3;0.6;0.4;-23.2;5.3
69043;2019;;;78.1;26.2;15.9;2.3;1.2;0.7;0.4;-22.5;7.4
69043;2020;;;77.9;27.5;14.6;2.6;1.3;0.9;0.4;-22.6;4.7
69043;2021;;;75.7;26.1;17.7;2.4;1.2;0.8;0.4;-21.9;4.9
69044;2014;73.1;66.3;;28.6;22.5;1.7;1.1;0.3;0.4;-25.9;6.8
69044;2015;;;72.3;29.3;22.7;1.6;0.9;0.3;0.4;-25.9;6.6
69044;2016;;;74.4;28.8;21.0;1.5;0.8;0.4;0.3;-25.7;7.0
69044;2017;;;76.2;28.4;20.0;1.5;0.8;0.4;0.3;-26.1;6.5
69044;2018;;;78.4;26.6;20.7;1.5;0.7;0.5;0.3;-27.2;7.1
69044;2019;;;79.1;27.6;19.0;1.7;0.8;0.6;0.3;-27.4;7.9
69044;2020;;;78.1;27.0;19.7;1.9;0.8;0.8;0.3;-26.7;6.5
69044;2021;;;78.1;25.5;22.2;1.6;0.7;0.6;0.3;-27.4;5.2
69045;2014;;;;;;;;;;;
69045;2015;;;;;;;;;;;
69045;2016;;;;;;;;;;;
69045;2017;;;;;;;;;;;
69045;2018;;;;;;;;;;;
69045;2019;;;;;;;;;;;
69045;2020;;;;;;;;;;;
69045;2021;;;;;;;;;;;
69046;2014;79.4;71.4;;26.7;14.6;1.9;1.4;0.2;0.3;-22.6;8.0
69046;2015;;;79.1;26.5;15.4;1.8;1.2;0.3;0.3;-22.8;7.6
69046;2016;;;80.0;26.1;14.8;1.7;1.1;0.3;0.3;-22.6;7.1
69046;2017;;;80.4;25.2;15.7;1.8;1.1;0.4;0.3;-23.1;6.4
69046;2018;;;82.3;24.1;16.3;1.7;1.0;0.4;0.3;-24.4;7.0
69046;2019;;;80.8;25.2;14.5;2.0;1.1;0.6;0.3;-22.5;5.4
69046;2020;;;82.5;25.0;13.0;2.0;1.1;0.6;0.3;-22.5;5.0
69046;2021;;;82.6;25.0;12.8;1.8;1.0;0.5;0.3;-22.2;5.5
69047;2014;;;;;;;;;;;
69047;2015;;;;;;;;;;;
69047;2016;;;;;;;;;;;
69047;2017;;;;;;;;;;;
