id_commune;id_year;nb_menages_fiscaux;nb_personnes_menages_fiscaux;mediane_niveau_vie_euros;pct_menages_imposables
69032;2018;798.0;2024.0;25350.0;61.0
69032;2019;829.0;2093.0;25540.0;68.0
69032;2020;826.0;2118.0;26340.0;61.0
69032;2021;838.0;2112.0;27450.0;64.0
69033;2014;939.0;2670.5;29844.0;82.0
69033;2015;967.0;2753.5;29849.3333333333;80.0
69033;2016;985.0;2755.0;30537.0833333333;78.0
69033;2017;1030.0;2822.0;31460.0;80.0
69033;2018;1046.0;2882.0;31630.0;79.0
69033;2019;1047.0;2872.0;32200.0;83.0
69033;2020;1075.0;2936.0;32510.0;76.0
69033;2021;1087.0;2965.0;34010.0;80.0
69034;2014;19120.0;42060.0;24108.9473684211;70.0
69034;2015;19118.0;41991.5;24542.0;68.0
69034;2016;19215.0;42135.0;24652.6666666667;66.0
69034;2017;19219.0;41740.0;25010.0;66.0
69034;2018;19302.0;41634.0;25590.0;66.0
69034;2019;19567.0;41853.0;25870.0;70.0
69034;2020;19697.0;41990.0;26440.0;64.0
69034;2021;19648.0;41606.0;27370.0;66.0
69035;2014;159.0;386.0;21485.9047619048;
69035;2015;162.0;383.0;21895.2380952381;
69035;2016;160.0;385.0;22242.380952381;
69035;2017;161.0;396.0;22490.0;
69035;2018;161.0;391.0;22990.0;
69035;2019;165.0;403.0;22690.0;
69035;2020;168.0;405.0;23620.0;
69035;2021;161.0;406.0;24870.0;
69036;2014;417.0;1129.5;21250.9523809524;
69036;2015;421.0;1138.5;21518.8;
69036;2016;429.0;1167.0;21324.0833333333;
69036;2017;423.0;1104.0;22280.0;
69036;2018;412.0;1061.0;23110.0;
69036;2019;421.0;1090.0;23230.0;
69036;2020;429.0;1100.0;22910.0;
69036;2021;439.0;1121.0;24520.0;
69037;2014;336.0;783.0;20018.0;
69037;2015;333.0;789.5;20819.5;
69037;2016;332.0;797.0;21083.8095238095;
69037;2017;327.0;791.0;20970.0;
69037;2018;331.0;795.0;21900.0;
69037;2019;332.0;774.0;21870.0;
69037;2020;352.0;819.0;22490.0;
69037;2021;349.0;811.0;23330.0;
69038;2014;381.0;945.5;19844.0;
69038;2015;377.0;948.0;19996.6666666667;
69038;2016;379.0;945.0;19628.3333333333;
69038;2017;379.0;938.0;20160.0;
69038;2018;373.0;905.0;21220.0;
69038;2019;378.0;898.0;20850.0;
69038;2020;387.0;943.0;21060.0;
69038;2021;394.0;965.0;21860.0;
69039;2014;283.0;692.0;20092.8;
69039;2015;292.0;711.0;20451.1904761905;
69039;2016;285.0;689.5;21577.1428571429;
69039;2017;287.0;698.0;21410.0;
69039;2018;282.0;672.0;22810.0;
69039;2019;289.0;681.0;22600.0;
69039;2020;302.0;708.0;22710.0;
69039;2021;298.0;703.0;24090.0;
69040;2014;2479.0;5689.5;24032.6666666667;69.0
