id_commune;id_year;taux_pauvrete_ensemble;taux_pauvrete_moins_30ans;taux_pauvrete_30_39ans;taux_pauvrete_40_49ans;taux_pauvrete_50_59ans;taux_pauvrete_60_74ans;taux_pauvrete_75ans_plus;taux_pauvrete_proprietaires;taux_pauvrete_locataires
69032;2019;;;;;;;;;
69032;2020;;;;;;;;;
69032;2021;;;;;;;;;
69033;2014;;;;;;;;;
69033;2015;;;;;;;;;
69033;2016;;;;;;;;;
69033;2017;;;;;;;;;
69033;2018;;;;;;;;;
69033;2019;;;;;;;;;
69033;2020;;;;;;;;;
69033;2021;;;;;;;;;
69034;2014;10.0;15.0;13.0;12.0;9.0;5.0;;5.0;19.0
69034;2015;9.0;14.0;12.0;12.0;9.0;6.0;;5.0;18.0
69034;2016;10.0;15.0;12.0;13.0;9.0;5.0;;5.0;19.0
69034;2017;10.0;14.0;12.0;13.0;10.0;6.0;5.0;5.0;19.0
69034;2018;10.0;15.0;12.0;12.0;10.0;6.0;5.0;5.0;19.0
69034;2019;10.0;16.0;13.0;13.0;9.0;6.0;5.0;5.0;20.0
69034;2020;10.0;16.0;13.0;12.0;10.0;7.0;5.0;5.0;20.0
69034;2021;11.0;18.0;12.0;12.0;10.0;8.0;6.0;5.0;22.0
69035;2014;;;;;;;;;
69035;2015;;;;;;;;;
69035;2016;;;;;;;;;
69035;2017;;;;;;;;;
69035;2018;;;;;;;;;
69035;2019;;;;;;;;;
69035;2020;;;;;;;;;
69035;2021;;;;;;;;;
69036;2014;;;;;;;;;
69036;2015;;;;;;;;;
69036;2016;;;;;;;;;
69036;2017;;;;;;;;;
69036;2018;;;;;;;;;
69036;2019;;;;;;;;;
69036;2020;;;;;;;;;
69036;2021;;;;;;;;;
69037;2014;;;;;;;;;
69037;2015;;;;;;;;;
69037;2016;;;;;;;;;
69037;2017;;;;;;;;;
69037;2018;;;;;;;;;
69037;2019;;;;;;;;;
69037;2020;;;;;;;;;
69037;2021;;;;;;;;;
69038;2014;;;;;;;;;
69038;2015;;;;;;;;;
69038;2016;;;;;;;;;
69038;2017;;;;;;;;;
69038;2018;;;;;;;;;
69038;2019;;;;;;;;;
69038;2020;;;;;;;;;
69038;2021;;;;;;;;;
69039;2014;;;;;;;;;
69039;2015;;;;;;;;;
69039;2016;;;;;;;;;
69039;2017;;;;;;;;;
69039;2018;;;;;;;;;
69039;2019;;;;;;;;;
69039;2020;;;;;;;;;
69039;2021;;;;;;;;;
69040;2014;9.0;;;;;;;;18.0
69040;2015;9.0;;;;;;;;18.0
69040;2016;9.0;;;;;;;;18.0
69040;2017;9.0;;;;;;;;18.0
69040;2018;10.0;;;;;;;;19.0
69040;2019;9.0;;;;;;;;18.0
69040;2020;10.0;;;;;;;;20.0
69040;2021;11.0;;;;;;;;21.0
69042;2014;;;;;;;;;
69042;2015;;;;;;;;;
69042;2016;;;;;;;;;
69042;2017;;;;;;;;;
69042;2018;;;;;;;;;
69042;2019;;;;;;;;;
69042;2020;;;;;;;;;
69042;2021;;;;;;;;;
69043;2014;5.0;;;;;;;;14.0
69043;2015;5.0;;;;;;;;14.0
69043;2016;5.0;;;;;;;;12.0
69043;2017;5.0;;;;;;;;14.0
69043;2018;5.0;;;;;;;;15.0
69043;2019;5.0;;;;;;;;15.0
69043;2020;5.0;;;;;;;;15.0
69043;2021;6.0;;;;;;;;16.0
69044;2014;5.0;;;;;;;;
69044;2015;5.0;;;;;;;;
69044;2016;5.0;;;;;;;;
69044;2017;5.0;;;;;;;;
69044;2018;5.0;;;;;;;;
69044;2019;5.0;;;;;;;;
69044;2020;5.0;;;;;;;;13.0
69044;2021;5.0;;;;;;;;
69045;2014;;;;;;;;;
69045;2015;;;;;;;;;
69045;2016;;;;;;;;;
69045;2017;;;;;;;;;
69045;2018;;;;;;;;;
69045;2019;;;;;;;;;
69045;2020;;;;;;;;;
69045;2021;;;;;;;;;
69046;2014;;;;;;;;;
69046;2015;;;;;;;;;
69046;2016;;;;;;;;;
69046;2017;;;;;;;;;
69046;2018;;;;;;;;;
69046;2019;;;;;;;;;
69046;2020;;;;;;;;;
69046;2021;;;;;;;;;
69047;2014;;;;;;;;;
69047;2015;;;;;;;;;
69047;2016;;;;;;;;;
69047;2017;;;;;;;;;
69047;2018;;;;;;;;;
69047;2019;;;;;;;;;
69047;2020;;;;;;;;;
69047;2021;;;;;;;;;
69049;2014;;;;;;;;;
69049;2015;;;;;;;;;
69049;2016;;;;;;;;;
69049;2017;;;;;;;;;
69049;2018;;;;;;;;;
69049;2019;;;;;;;;;
69049;2020;;;;;;;;;
69049;2021;;;;;;;;;
69050;2014;;;;;;;;;
69050;2015;;;;;;;;;
69050;2016;;;;;;;;;
69050;2017;;;;;;;;;
69050;2018;;;;;;;;;
69050;2019;;;;;;;;;
69050;2020;;;;;;;;;
69050;2021;;;;;;;;;
69051;2014;;;;;;;;;
69051;2015;;;;;;;;;
69051;2016;;;;;;;;;
69051;2017;;;;;;;;;
69051;2018;;;;;;;;;
69051;2019;;;;;;;;;
69051;2020;;;;;;;;;
69051;2021;;;;;;;;;
69052;2014;;;;;;;;;
69052;2015;;;;;;;;;
69052;2016;;;;;;;;;
69052;2017;;;;;;;;;
69052;2018;;;;;;;;;
69052;2019;;;;;;;;;
69052;2020;;;;;;;;;
69052;2021;;;;;;;;;
69053;2014;;;;;;;;;
69053;2015;;;;;;;;;
69053;2016;;;;;;;;;
69053;2017;;;;;;;;;
69053;2018;;;;;;;;;
69053;2019;;;;;;;;;
69053;2020;;;;;;;;;
69053;2021;;;;;;;;;
69054;2014;;;;;;;;;
69054;2015;;;;;;;;;
69054;2016;;;;;;;;;
69054;2017;;;;;;;;;
69054;2018;;;;;;;;;
69054;2019;;;;;;;;;
69054;2020;;;;;;;;;
69054;2021;;;;;;;;;
69055;2014;;;;;;;;;
69055;2015;;;;;;;;;
69055;2016;;;;;;;;;
69055;2017;;;;;;;;;
69055;2018;;;;;;;;;
69055;2019;;;;;;;;;
69055;2020;;;;;;;;;
69055;2021;;;;;;;;;
69056;2014;;;;;;;;;
69056;2015;;;;;;;;;
69056;2016;;;;;;;;;
69056;2017;;;;;;;;;
69056;2018;;;;;;;;;
69056;2019;;;;;;;;;
69056;2020;;;;;;;;;
69056;2021;;;;;;;;;
69057;2014;;;;;;;;;
69057;2015;;;;;;;;;
69057;2016;;;;;;;;;
69057;2017;;;;;;;;;
69057;2018;;;;;;;;;
69057;2019;;;;;;;;;
69057;2020;;;;;;;;;
69057;2021;;;;;;;;;
69058;2014;;;;;;;;;
69058;2015;;;;;;;;;
69058;2016;;;;;;;;;
69058;2017;;;;;;;;;
69058;2018;;;;;;;;;
69058;2019;;;;;;;;;
69058;2020;;;;;;;;;
69058;2021;;;;;;;;;
69059;2014;;;;;;;;;
69059;2015;;;;;;;;;
69059;2016;;;;;;;;;
69059;2017;;;;;;;;;
69059;2018;;;;;;;;;
69059;2019;;;;;;;;;
69059;2020;;;;;;;;;
69059;2021;;;;;;;;;
69060;2014;;;;;;;;;
69060;2015;;;;;;;;;
69060;2016;;;;;;;;;
69060;2017;;;;;;;;;
69060;2018;;;;;;;;;
69060;2019;;;;;;;;;
69060;2020;;;;;;;;;
69060;2021;;;;;;;;;
69061;2014;;;;;;;;;
69061;2015;;;;;;;;;
69061;2016;;;;;;;;;
69061;2017;;;;;;;;;
69061;2018;;;;;;;;;
69061;2019;;;;;;;;;
69061;2020;;;;;;;;;
69061;2021;;;;;;;;;
69062;2014;;;;;;;;;
69062;2015;;;;;;;;;
69062;2016;;;;;;;;;
69062;2017;;;;;;;;;
69062;2018;;;;;;;;;
69062;2019;;;;;;;;;
69062;2020;;;;;;;;;
69062;2021;;;;;;;;;
69063;2014;5.0;;;;;;;;
69063;2015;5.0;;;;;;;;
69063;2016;5.0;;;;;;;;
69063;2017;5.0;;;;;;;;
69063;2018;5.0;;;;;;;;
69063;2019;5.0;;;;;;;;
69063;2020;6.0;;;;;;;;
69063;2021;6.0;;;;;;;;
69064;2014;12.0;;;;;;;;22.0
69064;2015;10.0;;;;;;;;20.0
69064;2016;11.0;;;;;;;;21.0
69064;2017;10.0;;;;;;;;20.0
69064;2018;11.0;;;;;;;;23.0
69064;2019;11.0;;;;;;;;22.0
69064;2020;11.0;;;;;;;;21.0
69064;2021;12.0;;;;;;;;22.0
69065;2014;;;;;;;;;
69065;2015;;;;;;;;;
69065;2016;;;;;;;;;
69065;2017;;;;;;;;;
69065;2018;;;;;;;;;
69065;2019;;;;;;;;;
69065;2020;;;;;;;;;
69065;2021;;;;;;;;;
69066;2014;13.0;;;;;;;;25.0
69066;2015;12.0;;;;;;;7.0;22.0
69066;2016;11.0;;;;;;;;22.0
69066;2017;11.0;;;;;;;;23.0
69066;2018;13.0;;;;;;;;28.0
69066;2019;13.0;;;;;;;;25.0
69066;2020;15.0;;;;;;;;32.0
69066;2021;16.0;;;;;;;8.0;34.0
69067;2014;;;;;;;;;
69067;2015;;;;;;;;;
69067;2016;;;;;;;;;
69067;2017;;;;;;;;;
69067;2018;;;;;;;;;
69067;2019;;;;;;;;;
69067;2020;;;;;;;;;
69067;2021;;;;;;;;;
69068;2014;;;;;;;;;
69068;2015;9.0;;;;;;;;
69068;2016;9.0;;;;;;;;
69068;2017;;;;;;;;;
69068;2018;9.0;;;;;;;;
69068;2019;;;;;;;;;
69068;2020;9.0;;;;;;;;
69068;2021;9.0;;;;;;;;
69069;2014;7.0;;;8.0;;;;;13.0
69069;2015;7.0;;;8.0;;;;;14.0
69069;2016;7.0;;;7.0;;;;;14.0
69069;2017;7.0;;;9.0;;;;;15.0
69069;2018;7.0;;;9.0;;;;;17.0
69069;2019;7.0;;;11.0;;;;;16.0
69069;2020;8.0;;10.0;9.0;;;;5.0;16.0
69069;2021;8.0;;10.0;9.0;;;;;17.0
69070;2014;;;;;;;;;
69070;2015;;;;;;;;;
69070;2016;;;;;;;;;
69070;2017;;;;;;;;;
69070;2018;;;;;;;;;
69070;2019;;;;;;;;;
69070;2020;;;;;;;;;
69070;2021;;;;;;;;;
69071;2014;;;;;;;;;
69071;2015;;;;;;;;;
69071;2016;;;;;;;;;
69071;2017;;;;;;;;;
69071;2018;;;;;;;;;
69071;2019;;;;;;;;;
69071;2020;;;;;;;;;
69071;2021;;;;;;;;;
69072;2014;5.0;;;;;;;;14.0
69072;2015;6.0;;;;;;;;14.0
69072;2016;5.0;;;;;;;;12.0
69072;2017;5.0;;;;;;;;14.0
69072;2018;6.0;;;;;;;;17.0
69072;2019;7.0;;;;;;;;18.0
69072;2020;7.0;;;;;;;;18.0
69072;2021;7.0;;;;;;;;18.0
69074;2014;;;;;;;;;
69074;2015;;;;;;;;;
69074;2016;;;;;;;;;
69074;2017;;;;;;;;;
69074;2018;;;;;;;;;
69074;2019;;;;;;;;;
69074;2020;;;;;;;;;
69074;2021;;;;;;;;;
69075;2014;;;;;;;;;
69075;2015;;;;;;;;;
69075;2016;;;;;;;;;
69075;2017;;;;;;;;;
69075;2018;;;;;;;;;
69075;2019;;;;;;;;;
69075;2020;;;;;;;;;
69075;2021;;;;;;;;;
69076;2014;;;;;;;;;
69076;2015;;;;;;;;;
69076;2016;;;;;;;;;
69076;2017;;;;;;;;;
69076;2018;;;;;;;;;
69076;2019;;;;;;;;;
69076;2020;;;;;;;;;
69076;2021;;;;;;;;;
69077;2014;;;;;;;;;
69077;2015;;;;;;;;;
69077;2016;;;;;;;;;
69077;2017;;;;;;;;;
69077;2018;;;;;;;;;
69077;2019;;;;;;;;;
69077;2020;;;;;;;;;
69077;2021;;;;;;;;;
69078;2014;;;;;;;;;
69078;2015;;;;;;;;;
69078;2016;;;;;;;;;
69078;2017;;;;;;;;;
69078;2018;;;;;;;;;
69078;2019;;;;;;;;;
69078;2020;;;;;;;;;
69078;2021;;;;;;;;;
69080;2014;;;;;;;;;
69080;2015;;;;;;;;;
69080;2016;;;;;;;;;
69080;2017;;;;;;;;;
