code_departement;libelle_departement;code_commune;libelle_commune;annee_election;tour;inscrits;abstentions;votants;blancs;nuls;blancs_et_nuls;exprimes;pct_abs_ins;pct_vot_ins;pct_blancs_ins;pct_blancs_vot;pct_nuls_ins;pct_nuls_vot;pct_blancs_et_nuls_ins;pct_blancs_et_nuls_vot;pct_exprimes_ins;pct_exprimes_vot;numero_panneau;sexe;nom;prenom;voix;pct_voix_ins;pct_voix_exprimes;nuance;source_dataset;date_refresh
69;RHONE;118;Loire-sur-Rhône;2012;2;1741;261;1480;85;0;85;1395;14.99;85.01;4.88;5.74;0.0;0.0;4.88;5.74;80.13;94.26;1;M;HOLLANDE;François;563;32.34;40.36;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;118;Loire-sur-Rhône;2012;2;1741;261;1480;85;0;85;1395;14.99;85.01;4.88;5.74;0.0;0.0;4.88;5.74;80.13;94.26;2;M;SARKOZY;Nicolas;832;47.79;59.64;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;119;Longes;2012;2;727;129;598;58;0;58;540;17.74;82.26;7.98;9.7;0.0;0.0;7.98;9.7;74.28;90.3;1;M;HOLLANDE;François;221;30.4;40.93;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;119;Longes;2012;2;727;129;598;58;0;58;540;17.74;82.26;7.98;9.7;0.0;0.0;7.98;9.7;74.28;90.3;2;M;SARKOZY;Nicolas;319;43.88;59.07;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;012;Les Ardillats;2012;2;470;46;424;23;0;23;401;9.79;90.21;4.89;5.42;0.0;0.0;4.89;5.42;85.32;94.58;1;M;HOLLANDE;François;148;31.49;36.91;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;012;Les Ardillats;2012;2;470;46;424;23;0;23;401;9.79;90.21;4.89;5.42;0.0;0.0;4.89;5.42;85.32;94.58;2;M;SARKOZY;Nicolas;253;53.83;63.09;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;120;Longessaigne;2012;2;454;56;398;27;0;27;371;12.33;87.67;5.95;6.78;0.0;0.0;5.95;6.78;81.72;93.22;1;M;HOLLANDE;François;128;28.19;34.5;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;120;Longessaigne;2012;2;454;56;398;27;0;27;371;12.33;87.67;5.95;6.78;0.0;0.0;5.95;6.78;81.72;93.22;2;M;SARKOZY;Nicolas;243;53.52;65.5;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;121;Lozanne;2012;2;1719;248;1471;95;0;95;1376;14.43;85.57;5.53;6.46;0.0;0.0;5.53;6.46;80.05;93.54;1;M;HOLLANDE;François;512;29.78;37.21;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;121;Lozanne;2012;2;1719;248;1471;95;0;95;1376;14.43;85.57;5.53;6.46;0.0;0.0;5.53;6.46;80.05;93.54;2;M;SARKOZY;Nicolas;864;50.26;62.79;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;122;Lucenay;2012;2;1268;157;1111;44;0;44;1067;12.38;87.62;3.47;3.96;0.0;0.0;3.47;3.96;84.15;96.04;1;M;HOLLANDE;François;321;25.32;30.08;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;122;Lucenay;2012;2;1268;157;1111;44;0;44;1067;12.38;87.62;3.47;3.96;0.0;0.0;3.47;3.96;84.15;96.04;2;M;SARKOZY;Nicolas;746;58.83;69.92;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;123;Lyon;2012;2;292719;61375;231344;9034;0;9034;222310;20.97;79.03;3.09;3.91;0.0;0.0;3.09;3.91;75.95;96.09;1;M;HOLLANDE;François;118089;40.34;53.12;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;123;Lyon;2012;2;292719;61375;231344;9034;0;9034;222310;20.97;79.03;3.09;3.91;0.0;0.0;3.09;3.91;75.95;96.09;2;M;SARKOZY;Nicolas;104221;35.6;46.88;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;124;Marchampt;2012;2;366;60;306;23;0;23;283;16.39;83.61;6.28;7.52;0.0;0.0;6.28;7.52;77.32;92.48;1;M;HOLLANDE;François;111;30.33;39.22;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;124;Marchampt;2012;2;366;60;306;23;0;23;283;16.39;83.61;6.28;7.52;0.0;0.0;6.28;7.52;77.32;92.48;2;M;SARKOZY;Nicolas;172;46.99;60.78;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;125;Marcilly-d'Azergues;2012;2;689;70;619;29;0;29;590;10.16;89.84;4.21;4.68;0.0;0.0;4.21;4.68;85.63;95.32;1;M;HOLLANDE;François;182;26.42;30.85;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;125;Marcilly-d'Azergues;2012;2;689;70;619;29;0;29;590;10.16;89.84;4.21;4.68;0.0;0.0;4.21;4.68;85.63;95.32;2;M;SARKOZY;Nicolas;408;59.22;69.15;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;126;Marcy;2012;2;534;58;476;20;0;20;456;10.86;89.14;3.75;4.2;0.0;0.0;3.75;4.2;85.39;95.8;1;M;HOLLANDE;François;132;24.72;28.95;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;126;Marcy;2012;2;534;58;476;20;0;20;456;10.86;89.14;3.75;4.2;0.0;0.0;3.75;4.2;85.39;95.8;2;M;SARKOZY;Nicolas;324;60.67;71.05;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;127;Marcy-l'Etoile;2012;2;2220;287;1933;76;0;76;1857;12.93;87.07;3.42;3.93;0.0;0.0;3.42;3.93;83.65;96.07;1;M;HOLLANDE;François;748;33.69;40.28;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;127;Marcy-l'Etoile;2012;2;2220;287;1933;76;0;76;1857;12.93;87.07;3.42;3.93;0.0;0.0;3.42;3.93;83.65;96.07;2;M;SARKOZY;Nicolas;1109;49.95;59.72;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;128;Mardore;2012;2;415;55;360;21;0;21;339;13.25;86.75;5.06;5.83;0.0;0.0;5.06;5.83;81.69;94.17;1;M;HOLLANDE;François;136;32.77;40.12;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
