code_insee;nom_standard;typecom;typecom_texte;reg_code;reg_nom;dep_code;dep_nom;canton_code;canton_nom;epci_code;epci_nom;academie_code;academie_nom;code_postal;codes_postaux;zone_emploi;code_insee_centre_zone_emploi;code_unite_urbaine;nom_unite_urbaine;taille_unite_urbaine;type_commune_unite_urbaine;statut_commune_unite_urbaine;population;superficie_hectare;superficie_km2;densite;altitude_moyenne;altitude_minimale;altitude_maximale;latitude_mairie;longitude_mairie;latitude_centre;longitude_centre;grille_densite;grille_densite_texte;niveau_equipements_services;niveau_equipements_services_texte;gentile;extraction_source_url;ingestion_timestamp;source_file_name
69020;Belmont-d'Azergues;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6904;Val d'Oingt;200040574;CC Beaujolais Pierres Dorées;10;Lyon;69380;69380;08421;69123;00760;Lyon;7;UNITE URBAINE;B;705;154;2;458;291;200;383;45.868;4.67;45.868;4.668;4;Ceintures urbaines;0;communes non pôle;Belmontois, Belmontoises;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69021;Bessenay;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6902;L'Arbresle;246900625;CC du Pays de l'Arbresle (CCPA);10;Lyon;69690;69690, 69595;08421;69123;69000;;0;HORS UNITE URBAINE;H;2348;1403;14;167;406;254;664;45.777;4.554;45.774;4.547;5;Bourgs ruraux;2;centres intermédiaires d'équipements et de services;;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69022;Bibost;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6902;L'Arbresle;246900625;CC du Pays de l'Arbresle (CCPA);10;Lyon;69690;69690;08421;69123;69000;;0;HORS UNITE URBAINE;H;542;531;5;102;432;279;584;45.798;4.547;45.797;4.549;6;Rural à habitat dispersé;0;communes non pôle;;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69023;Blacé;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6907;Gleizé;200040590;CA Villefranche Beaujolais Saône;10;Lyon;69460;69460;08434;69264;69205;Saint-Étienne-des-Oullières;2;UNITE URBAINE;C;1669;1105;11;151;358;218;732;46.032;4.644;46.035;4.636;6;Rural à habitat dispersé;1;centres locaux d'équipements et de services;;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69024;Val d'Oingt;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6904;Val d'Oingt;200040574;CC Beaujolais Pierres Dorées;10;Lyon;69620;69620;08421;69123;69301;Val d'Oingt;3;UNITE URBAINE;C;4155;521;5;798;328;250;652;45.92;4.587;45.919;4.579;5;Bourgs ruraux;2;centres intermédiaires d'équipements et de services;;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69026;Le Breuil;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6904;Val d'Oingt;200040574;CC Beaujolais Pierres Dorées;10;Lyon;69620;69620;08421;69123;69301;Val d'Oingt;3;UNITE URBAINE;B;535;564;6;95;282;225;391;45.895;4.587;45.891;4.591;6;Rural à habitat dispersé;0;communes non pôle;Breugliens, Breugliennes;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69027;Brignais;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6905;Brignais;246900757;CC de la Vallée du Garon (CCVG);10;Lyon;69530;69530;08421;69123;00760;Lyon;7;UNITE URBAINE;B;12388;1032;10;1200;244;203;331;45.675;4.759;45.678;4.753;2;Centres urbains intermédiaires;2;centres intermédiaires d'équipements et de services;Brignarot(e)s;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69028;Brindas;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6905;Brignais;246900724;CC des Vallons du Lyonnais (CCVL);10;Lyon;69126;69126;08421;69123;00760;Lyon;7;UNITE URBAINE;B;6661;1139;11;585;297;232;371;45.72;4.694;45.72;4.703;4;Ceintures urbaines;2;centres intermédiaires d'équipements et de services;Brindasiens;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69029;Bron;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6999;Lyon;200046977;Métropole de Lyon;10;Lyon;69500;69678, 69674, 69675, 69500, 69676, 69672, 69673, 69677, 69696, 69671, 69394;08421;69123;00760;Lyon;7;UNITE URBAINE;B;43049;1026;10;4196;198;183;221;45.734;4.909;45.734;4.912;1;Grands centres urbains;3;centres structurants d'équipements et de services;Brondillants;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69030;Brullioles;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6902;L'Arbresle;200066587;CC des Monts du Lyonnais;10;Lyon;69690;69690;08421;69123;69000;;0;HORS UNITE URBAINE;H;826;1249;12;66;560;380;817;45.762;4.499;45.764;4.493;6;Rural à habitat dispersé;1;centres locaux d'équipements et de services;;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
