code_departement;libelle_departement;code_commune;libelle_commune;annee_election;tour;inscrits;abstentions;votants;blancs;nuls;exprimes;pct_abs_ins;pct_vot_ins;pct_blancs_ins;pct_blancs_vot;pct_nuls_ins;pct_nuls_vot;pct_exprimes_ins;pct_exprimes_vot;numero_panneau;sexe;nom;prenom;voix;pct_voix_ins;pct_voix_exprimes;nuance;source_dataset;date_refresh
69;Rhône;027;Brignais;2022;2;9156;2428;6728;405;114;6209;26.52;73.48;4.42;6.02;1.25;1.69;67.81;92.29;2;F;LE PEN;Marine;1984;21.67;31.95;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;028;Brindas;2022;2;4821;916;3905;230;46;3629;19.0;81.0;4.77;5.89;0.95;1.18;75.27;92.93;1;M;MACRON;Emmanuel;2385;49.47;65.72;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;028;Brindas;2022;2;4821;916;3905;230;46;3629;19.0;81.0;4.77;5.89;0.95;1.18;75.27;92.93;2;F;LE PEN;Marine;1244;25.8;34.28;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;029;Bron;2022;2;23355;7515;15840;956;317;14567;32.18;67.82;4.09;6.04;1.36;2.0;62.37;91.96;1;M;MACRON;Emmanuel;10351;44.32;71.06;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;029;Bron;2022;2;23355;7515;15840;956;317;14567;32.18;67.82;4.09;6.04;1.36;2.0;62.37;91.96;2;F;LE PEN;Marine;4216;18.05;28.94;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;030;Brullioles;2022;2;651;136;515;24;12;479;20.89;79.11;3.69;4.66;1.84;2.33;73.58;93.01;1;M;MACRON;Emmanuel;263;40.4;54.91;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;030;Brullioles;2022;2;651;136;515;24;12;479;20.89;79.11;3.69;4.66;1.84;2.33;73.58;93.01;2;F;LE PEN;Marine;216;33.18;45.09;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;031;Brussieu;2022;2;975;215;760;51;9;700;22.05;77.95;5.23;6.71;0.92;1.18;71.79;92.11;1;M;MACRON;Emmanuel;377;38.67;53.86;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;031;Brussieu;2022;2;975;215;760;51;9;700;22.05;77.95;5.23;6.71;0.92;1.18;71.79;92.11;2;F;LE PEN;Marine;323;33.13;46.14;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;032;Bully;2022;2;1576;327;1249;71;14;1164;20.75;79.25;4.51;5.68;0.89;1.12;73.86;93.19;1;M;MACRON;Emmanuel;644;40.86;55.33;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;032;Bully;2022;2;1576;327;1249;71;14;1164;20.75;79.25;4.51;5.68;0.89;1.12;73.86;93.19;2;F;LE PEN;Marine;520;32.99;44.67;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;033;Cailloux-sur-Fontaines;2022;2;2122;358;1764;65;9;1690;16.87;83.13;3.06;3.68;0.42;0.51;79.64;95.8;1;M;MACRON;Emmanuel;1166;54.95;68.99;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;033;Cailloux-sur-Fontaines;2022;2;2122;358;1764;65;9;1690;16.87;83.13;3.06;3.68;0.42;0.51;79.64;95.8;2;F;LE PEN;Marine;524;24.69;31.01;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;034;Caluire-et-Cuire;2022;2;30445;8028;22417;1207;305;20905;26.37;73.63;3.96;5.38;1.0;1.36;68.66;93.26;1;M;MACRON;Emmanuel;15837;52.02;75.76;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;034;Caluire-et-Cuire;2022;2;30445;8028;22417;1207;305;20905;26.37;73.63;3.96;5.38;1.0;1.36;68.66;93.26;2;F;LE PEN;Marine;5068;16.65;24.24;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;035;Cenves;2022;2;336;67;269;22;12;235;19.94;80.06;6.55;8.18;3.57;4.46;69.94;87.36;1;M;MACRON;Emmanuel;137;40.77;58.3;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;035;Cenves;2022;2;336;67;269;22;12;235;19.94;80.06;6.55;8.18;3.57;4.46;69.94;87.36;2;F;LE PEN;Marine;98;29.17;41.7;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
