commune_id;Code du département;Libellé du département;Code de la commune;Libellé de la commune;Etat saisie;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;extraction_source_url;ingestion_timestamp;source_file_name
69_040;69;Rhône;040;Champagne-au-Mont-d'Or;Complet;4044;925;22.87;3119;77.13;155;3.83;4.97;48;1.19;1.54;2916;72.11;93.49;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_042;69;Rhône;042;La Chapelle-sur-Coise;Complet;434;74;17.05;360;82.95;19;4.38;5.28;3;0.69;0.83;338;77.88;93.89;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_043;69;Rhône;043;Chaponost;Complet;6854;1348;19.67;5506;80.33;277;4.04;5.03;61;0.89;1.11;5168;75.4;93.86;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_044;69;Rhône;044;Charbonnières-les-Bains;Complet;4288;702;16.37;3586;83.63;161;3.75;4.49;38;0.89;1.06;3387;78.99;94.45;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_045;69;Rhône;045;Charentay;Complet;898;151;16.82;747;83.18;53;5.9;7.1;12;1.34;1.61;682;75.95;91.3;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_046;69;Rhône;046;Charly;Complet;3813;684;17.94;3129;82.06;123;3.23;3.93;40;1.05;1.28;2966;77.79;94.79;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_047;69;Rhône;047;Charnay;Complet;709;119;16.78;590;83.22;27;3.81;4.58;6;0.85;1.02;557;78.56;94.41;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_049;69;Rhône;049;Chasselay;Complet;2312;494;21.37;1818;78.63;114;4.93;6.27;28;1.21;1.54;1676;72.49;92.19;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_050;69;Rhône;050;Châtillon;Complet;1752;416;23.74;1336;76.26;101;5.76;7.56;25;1.43;1.87;1210;69.06;90.57;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_051;69;Rhône;051;Chaussan;Complet;878;173;19.7;705;80.3;64;7.29;9.08;10;1.14;1.42;631;71.87;89.5;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
