Code du département;Libellé du département;Code de la commune;Libellé de la commune;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs et nuls;% BlNuls/Ins;% BlNuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Sexe_1;Nom_1;Prénom_1;Voix_1;% Voix/Ins_1;% Voix/Exp_1;Sexe_2;Nom_2;Prénom_2;Voix_2;% Voix/Ins_2;% Voix/Exp_2;source_sheet_name;extraction_source_url;ingestion_timestamp;source_file_name
69;RHONE;28;Brindas;3969;508;12.8;3461;87.2;156;3.93;4.51;3305;83.27;95.49;M;HOLLANDE;François;1219;30.71;36.88;M;SARKOZY;Nicolas;2086;52.56;63.12;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;29;Bron;22320;4508;20.2;17812;79.8;827;3.71;4.64;16985;76.1;95.36;M;HOLLANDE;François;9052;40.56;53.29;M;SARKOZY;Nicolas;7933;35.54;46.71;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;30;Brullioles;605;66;10.91;539;89.09;32;5.29;5.94;507;83.8;94.06;M;HOLLANDE;François;174;28.76;34.32;M;SARKOZY;Nicolas;333;55.04;65.68;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;31;Brussieu;758;81;10.69;677;89.31;53;6.99;7.83;624;82.32;92.17;M;HOLLANDE;François;235;31;37.66;M;SARKOZY;Nicolas;389;51.32;62.34;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;32;Bully;1475;239;16.2;1236;83.8;54;3.66;4.37;1182;80.14;95.63;M;HOLLANDE;François;442;29.97;37.39;M;SARKOZY;Nicolas;740;50.17;62.61;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;33;Cailloux-sur-Fontaines;1811;214;11.82;1597;88.18;64;3.53;4.01;1533;84.65;95.99;M;HOLLANDE;François;520;28.71;33.92;M;SARKOZY;Nicolas;1013;55.94;66.08;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;34;Caluire-et-Cuire;28462;4920;17.29;23542;82.71;936;3.29;3.98;22606;79.43;96.02;M;HOLLANDE;François;9993;35.11;44.21;M;SARKOZY;Nicolas;12613;44.32;55.79;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;35;Cenves;302;43;14.24;259;85.76;7;2.32;2.7;252;83.44;97.3;M;HOLLANDE;François;107;35.43;42.46;M;SARKOZY;Nicolas;145;48.01;57.54;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;36;Cercié;743;116;15.61;627;84.39;42;5.65;6.7;585;78.73;93.3;M;HOLLANDE;François;212;28.53;36.24;M;SARKOZY;Nicolas;373;50.2;63.76;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;37;Chambost-Allières;552;103;18.66;449;81.34;18;3.26;4.01;431;78.08;95.99;M;HOLLANDE;François;169;30.62;39.21;M;SARKOZY;Nicolas;262;47.46;60.79;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;38;Chambost-Longessaigne;637;102;16.01;535;83.99;25;3.92;4.67;510;80.06;95.33;M;HOLLANDE;François;182;28.57;35.69;M;SARKOZY;Nicolas;328;51.49;64.31;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;39;Chamelet;510;91;17.84;419;82.16;35;6.86;8.35;384;75.29;91.65;M;HOLLANDE;François;164;32.16;42.71;M;SARKOZY;Nicolas;220;43.14;57.29;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;40;Champagne-au-Mont-d'Or;3732;538;14.42;3194;85.58;148;3.97;4.63;3046;81.62;95.37;M;HOLLANDE;François;1120;30.01;36.77;M;SARKOZY;Nicolas;1926;51.61;63.23;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;41;La Chapelle-de-Mardore;181;11;6.08;170;93.92;11;6.08;6.47;159;87.85;93.53;M;HOLLANDE;François;55;30.39;34.59;M;SARKOZY;Nicolas;104;57.46;65.41;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;42;La Chapelle-sur-Coise;395;23;5.82;372;94.18;21;5.32;5.65;351;88.86;94.35;M;HOLLANDE;François;113;28.61;32.19;M;SARKOZY;Nicolas;238;60.25;67.81;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;43;Chaponost;6097;912;14.96;5185;85.04;252;4.13;4.86;4933;80.91;95.14;M;HOLLANDE;François;2035;33.38;41.25;M;SARKOZY;Nicolas;2898;47.53;58.75;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;44;Charbonnières-les-Bains;3875;460;11.87;3415;88.13;118;3.05;3.46;3297;85.08;96.54;M;HOLLANDE;François;831;21.45;25.2;M;SARKOZY;Nicolas;2466;63.64;74.8;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;45;Charentay;824;113;13.71;711;86.29;50;6.07;7.03;661;80.22;92.97;M;HOLLANDE;François;237;28.76;35.85;M;SARKOZY;Nicolas;424;51.46;64.15;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;46;Charly;3436;400;11.64;3036;88.36;132;3.84;4.35;2904;84.52;95.65;M;HOLLANDE;François;1069;31.11;36.81;M;SARKOZY;Nicolas;1835;53.41;63.19;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;47;Charnay;729;117;16.05;612;83.95;38;5.21;6.21;574;78.74;93.79;M;HOLLANDE;François;230;31.55;40.07;M;SARKOZY;Nicolas;344;47.19;59.93;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
