Code du département;Libellé du département;Code de la commune;Libellé de la commune;Etat saisie;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;N°Panneau_1;Sexe_1;Nom_1;Prénom_1;Voix_1;% Voix/Ins_1;% Voix/Exp_1;N°Panneau_2;Sexe_2;Nom_2;Prénom_2;Voix_2;% Voix/Ins_2;% Voix/Exp_2;extraction_source_url;ingestion_timestamp;source_file_name
69;Rhône;028;Brindas;Complet;4821;916;19;3905;81;230;4.77;5.89;46;0.95;1.18;3629;75.27;92.93;1;M;MACRON;Emmanuel;2385;49.47;65.72;2;F;LE PEN;Marine;1244;25.8;34.28;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;029;Bron;Complet;23355;7515;32.18;15840;67.82;956;4.09;6.04;317;1.36;2;14567;62.37;91.96;1;M;MACRON;Emmanuel;10351;44.32;71.06;2;F;LE PEN;Marine;4216;18.05;28.94;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;030;Brullioles;Complet;651;136;20.89;515;79.11;24;3.69;4.66;12;1.84;2.33;479;73.58;93.01;1;M;MACRON;Emmanuel;263;40.4;54.91;2;F;LE PEN;Marine;216;33.18;45.09;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;031;Brussieu;Complet;975;215;22.05;760;77.95;51;5.23;6.71;9;0.92;1.18;700;71.79;92.11;1;M;MACRON;Emmanuel;377;38.67;53.86;2;F;LE PEN;Marine;323;33.13;46.14;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;032;Bully;Complet;1576;327;20.75;1249;79.25;71;4.51;5.68;14;0.89;1.12;1164;73.86;93.19;1;M;MACRON;Emmanuel;644;40.86;55.33;2;F;LE PEN;Marine;520;32.99;44.67;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;033;Cailloux-sur-Fontaines;Complet;2122;358;16.87;1764;83.13;65;3.06;3.68;9;0.42;0.51;1690;79.64;95.8;1;M;MACRON;Emmanuel;1166;54.95;68.99;2;F;LE PEN;Marine;524;24.69;31.01;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;034;Caluire-et-Cuire;Complet;30445;8028;26.37;22417;73.63;1207;3.96;5.38;305;1;1.36;20905;68.66;93.26;1;M;MACRON;Emmanuel;15837;52.02;75.76;2;F;LE PEN;Marine;5068;16.65;24.24;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;035;Cenves;Complet;336;67;19.94;269;80.06;22;6.55;8.18;12;3.57;4.46;235;69.94;87.36;1;M;MACRON;Emmanuel;137;40.77;58.3;2;F;LE PEN;Marine;98;29.17;41.7;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;036;Cercié;Complet;814;165;20.27;649;79.73;37;4.55;5.7;9;1.11;1.39;603;74.08;92.91;1;M;MACRON;Emmanuel;312;38.33;51.74;2;F;LE PEN;Marine;291;35.75;48.26;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;037;Chambost-Allières;Complet;594;124;20.88;470;79.12;28;4.71;5.96;12;2.02;2.55;430;72.39;91.49;1;M;MACRON;Emmanuel;183;30.81;42.56;2;F;LE PEN;Marine;247;41.58;57.44;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
