Libellé de la commune;Code du département;Libellé du département;Code de la circonscription;Libellé de la circonscription;Inscrits;Abstentions;Votants;Blancs;Nuls;Exprimés;Voix_1;Voix_2;N°Panneau_1;Sexe_1;Nom_1;Prénom_1;N°Panneau_2;Sexe_2;Nom_2;Prénom_2;% Abs/Ins;% Vot/Ins;% Blancs/Ins;% Blancs/Vot;% Nuls/Ins;% Nuls/Vot;% Exp/Ins;% Exp/Vot;% Voix/Ins_1;% Voix/Exp_1;% Voix/Ins_2;% Voix/Exp_2;extraction_source_url;ingestion_timestamp;source_file_name
Brullioles;69;Rhône;10;10ème circonscription;622.0;114.0;508.0;51.0;15.0;442.0;264.0;178.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;18.33;81.67;8.2;10.04;2.41;2.95;71.06;87.01;42.44;59.73;28.62;40.27;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Brussieu;69;Rhône;10;10ème circonscription;853.0;122.0;731.0;83.0;15.0;633.0;359.0;274.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;14.3;85.7;9.73;11.35;1.76;2.05;74.21;86.59;42.09;56.71;32.12;43.29;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Bully;69;Rhône;08;8ème circonscription;1448.0;294.0;1154.0;121.0;34.0;999.0;606.0;393.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;20.3;79.7;8.36;10.49;2.35;2.95;68.99;86.57;41.85;60.66;27.14;39.34;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Cailloux-sur-Fontaines;69;Rhône;05;5ème circonscription;1970.0;297.0;1673.0;145.0;30.0;1498.0;1092.0;406.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;15.08;84.92;7.36;8.67;1.52;1.79;76.04;89.54;55.43;72.9;20.61;27.1;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Caluire-et-Cuire;69;Rhône;05;5ème circonscription;31795.0;9338.0;22457.0;1629.0;473.0;20355.0;16402.0;3953.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;29.37;70.63;5.12;7.25;1.49;2.11;64.02;90.64;51.59;80.58;12.43;19.42;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Cenves;69;Rhône;09;9ème circonscription;313.0;63.0;250.0;32.0;4.0;214.0;145.0;69.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;20.13;79.87;10.22;12.8;1.28;1.6;68.37;85.6;46.33;67.76;22.04;32.24;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Cercié;69;Rhône;09;9ème circonscription;764.0;125.0;639.0;69.0;10.0;560.0;296.0;264.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;16.36;83.64;9.03;10.8;1.31;1.56;73.3;87.64;38.74;52.86;34.55;47.14;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Chabanière;69;Rhône;11;11ème circonscription;3225.0;619.0;2606.0;266.0;59.0;2281.0;1487.0;794.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;19.19;80.81;8.25;10.21;1.83;2.26;70.73;87.53;46.11;65.19;24.62;34.81;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Chambost-Allières;69;Rhône;08;8ème circonscription;580.0;119.0;461.0;37.0;17.0;407.0;220.0;187.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;20.52;79.48;6.38;8.03;2.93;3.69;70.17;88.29;37.93;54.05;32.24;45.95;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Chambost-Longessaigne;69;Rhône;10;10ème circonscription;694.0;142.0;552.0;63.0;13.0;476.0;259.0;217.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;20.46;79.54;9.08;11.41;1.87;2.36;68.59;86.23;37.32;54.41;31.27;45.59;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
