CODGEO,LIBGEO,NBMENFISC16,NBPERSMENFISC16,MED16,PIMP16,TP6016,TP60AGE116,TP60AGE216,TP60AGE316,TP60AGE416,TP60AGE516,TP60AGE616,TP60TOL116,TP60TOL216,PACT16,PTSA16,PCHO16,PBEN16,PPEN16,PPAT16,PPSOC16,PPFAM16,PPMINI16,PPLOGT16,PIMPOT16,D116,D916,RD16,year,extraction_source_url,ingestion_timestamp,source_file_name
69018,Beaujeu,880,1865.5,19518,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69019,Belleville-en-Beaujolais,5156,12335,20073.3333333333,45,12,,12,12,15,,,5,21,74.6,67.9,3.6,3,24.2,7.3,7,3.2,2.1,1.7,-13.1,11835,31915.3333333333,2.69669060695677,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69020,Belmont-d'Azergues,230,626,25315.9420289855,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69021,Bessenay,909,2268,22600.9523809524,57,,,,,,,,,,75.6,65.2,3.4,7,24.9,12.9,3.6,2.3,0.7,0.7,-17,13786.1538461538,36631,2.6570862626939,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69022,Bibost,218,567,22551.75,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69023,Blacé,588,1562,24244.5,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69024,Val d'Oingt,1644,4017.5,23743.0769230769,62,7,,,,,,,,,74.7,66.7,2.8,5.3,27.8,11.1,3.3,1.8,0.8,0.6,-16.9,14074.6666666667,39836.0869565217,2.83033963787337,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69026,Le Breuil,181,508.5,23992.5,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69027,Brignais,4665,11506.5,24327.1428571429,63,9,,10,12,9,,,,19,75.4,68.4,2.5,4.5,28.3,10.5,3.8,1.9,1.1,0.9,-18,13090,42488.6666666667,3.24588744588744,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69028,Brindas,2334,6199.5,27070.7142857143,70,5,,,,,,,,,81.5,74,2.3,5.2,22.4,13.8,2.6,1.6,0.5,0.5,-20.3,15398.0952380952,47814.4,3.10521523998021,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69029,Bron,16517,38853.5,19727,53,20,24,26,26,18,13,8,7,33,73.8,66.1,3.5,4.2,27.6,8.7,7.1,2.8,2.3,2,-17.2,9877.66666666667,37117,3.75766881517227,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69030,Brullioles,327,840.5,22036.4,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69031,Brussieu,518,1426.5,22102.1212121212,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69032,Bully,771,1977,23751.6,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69033,Cailloux-sur-Fontaines,985,2755,30537.0833333333,78,,,,,,,,,,86.2,77.2,2,6.9,20.4,13.7,1.8,1.3,0.4,0.2,-22.1,18684.4,50960,2.72740896148659,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69034,Caluire-et-Cuire,19215,42135,24652.6666666667,66,10,15,12,13,9,5,,5,19,75.1,66.4,2.7,5.9,29,14,3.5,1.5,1.1,0.9,-21.6,12635.3333333333,49178.3333333333,3.89212789532,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69035,Cenves,160,385,22242.380952381,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69036,Cercié,429,1167,21324.0833333333,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69037,Chambost-Allières,332,797,21083.8095238095,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69038,Chambost-Longessaigne,379,945,19628.3333333333,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69039,Chamelet,285,689.5,21577.1428571429,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69040,Champagne-au-Mont-d'Or,2470,5541.5,24942.5,65,9,,,,,,,,18,72.5,65,3.1,4.4,30.8,13.4,3.6,1.5,1.1,0.9,-20.3,12647.5,48723.5,3.85242142715952,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69042,La Chapelle-sur-Coise,210,597.5,21175.2173913043,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69043,Chaponost,3440,8964,28135.0357142857,72,5,,,,,,,,12,78.1,70.1,2.1,5.9,27.3,13.7,2.5,1.4,0.5,0.5,-21.6,15328,51740,3.37552192066806,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69044,Charbonnières-les-Bains,2095,5181.5,34261.3333333333,77,5,,,,,,,,,74.4,65.2,2.3,7,28.8,21,1.5,0.8,0.4,0.3,-25.7,16560,69447.3333333333,4.19367954911433,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69045,Charentay,473,1201.5,22872.8,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69046,Charly,1725,4691,30562,77,,,,,,,,,,80,70.7,2.2,7.1,26.1,14.8,1.7,1.1,0.3,0.3,-22.6,17168,55563.0769230769,3.23643271919134,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69047,Charnay,397,1003.5,27698.5,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69049,Chasselay,1042,2670,29768.5714285714,72,,,,,,,,,,76.9,67.5,2.6,6.9,28.4,14.2,1.8,1.1,0.4,0.3,-21.3,16252.5,53075.5555555556,3.26568562101557,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69050,Châtillon,884,2223.5,25352.8571428571,64,,,,,,,,,,81,74.1,2.4,4.5,24.6,10.5,2.5,1.6,0.5,0.4,-18.6,14935.5555555556,42079,2.8173709269454,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69051,Chaussan,425,1157.5,23404,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69052,Chazay-d'Azergues,1639,4252,28007.6,72,,,,,,,,,,78.4,72,2.2,4.2,28.1,10.2,2.2,1.5,0.4,0.4,-18.9,16127,46043.3333333333,2.85504640251338,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69053,Chénas,205,538,21890.6666666667,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69054,Chénelette,168,363,22259.5238095238,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69055,Les Chères,545,1421.5,24942.8,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69056,Chessy,754,2015,24265.7142857143,66,,,,,,,,,,84.6,78.7,2.4,3.5,20.6,6.6,3.5,2.4,0.6,0.5,-15.3,15100.6666666667,36229.2,2.39917884420114,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69057,Chevinay,226,590.5,24204.6666666667,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69058,Chiroubles,166,387.5,19686.6666666667,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69059,Civrieux-d'Azergues,581,1501.5,26216.6666666667,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69060,Claveisolles,247,597,19733.9130434783,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69061,Cogny,472,1210.5,25339.5238095238,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69062,Coise,297,800,20948.4,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69063,Collonges-au-Mont-d'Or,1749,4440,32009.3333333333,74,5,,,,,,,,,86.1,73.8,2.7,9.6,21.3,18,1.8,1,0.4,0.4,-27.2,15973.3333333333,69106,4.32633555926544,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69064,Condrieu,1646,3627.5,21697.8260869565,55,11,,,,,,,,21,70.2,61.3,2.7,6.2,30.4,11.5,4.2,1.8,1.3,1.1,-16.3,12276.3636363636,36434,2.96781694312796,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69065,Corcelles-en-Beaujolais,356,929.5,22921.4285714286,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69066,Cours,2032,4327.5,19657.7777777778,43,11,,,,,,,,22,57.5,50.9,2.7,3.9,39.6,11.3,5.2,2.1,1.8,1.3,-13.6,12167.3333333333,32726.5,2.68970193414059,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69067,Courzieu,466,1108.5,20758,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69068,Couzon-au-Mont-d'Or,969,2331.5,24862.8571428571,63,9,,,,,,,,,78.7,68.9,3.6,6.3,25.6,13,3.3,1.6,0.9,0.7,-20.6,12913.125,45142.3333333333,3.49584886178468,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69069,Craponne,4870,11447.5,24907.3333333333,66,7,,,7,,,,,14,75.1,69,2.7,3.4,29.1,11.3,3.3,1.6,0.9,0.8,-18.8,14020,43095.2380952381,3.07384009238503,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69070,Cublize,504,1210.5,20278,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69071,Curis-au-Mont-d'Or,423,1152.5,29678.8888888889,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69072,Dardilly,3163,8613.5,30182,74,5,,,,,,,,12,82.1,73.8,2.5,5.8,23.8,15.6,2.3,1.3,0.5,0.5,-23.8,15581,58685.3333333333,3.76646770639454,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69074,Denicé,603,1604,24893.75,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69075,Dième,65,191.5,22565.3333333333,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69076,Dommartin,943,2632.5,31395,76,,,,,,,,,,83,75.9,2.8,4.4,22.9,15.8,1.5,1,0.3,0.2,-23.2,16630.3571428571,59411,3.57244282186191,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69077,Dracé,345,953,22460,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69078,Duerne,312,830.5,21533,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69080,Échalas,639,1717,23585.7435897436,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69081,Écully,6752,15990,27279.6428571429,67,9,,12,12,10,,,5,19,69.3,61.3,2.1,5.9,32.6,19.9,3,1.4,0.8,0.7,-24.8,12774.1379310345,59047.4,4.62241760021595,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69082,Émeringes,110,268.5,21690.4761904762,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69083,Éveux,419,1120,27449,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69084,Fleurie,542,1253.5,20730,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69085,Fleurieu-sur-Saône,537,1415,27482,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69086,Fleurieux-sur-l'Arbresle,912,2427.5,26749.1304347826,69,,,,,,,,,,80.1,73.7,3.1,3.3,26.7,9.5,2.3,1.6,0.4,0.3,-18.6,16444.5,43468,2.64331539420475,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69087,Fontaines-Saint-Martin,1061,2858.5,29790.4347826087,73,,,,,,,,,,80.3,72,2.8,5.6,24.4,16.2,2.1,1.3,0.4,0.4,-23,15669.756097561,57820,3.68991065591632,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69088,Fontaines-sur-Saône,3152,7147,22758,60,11,,14,14,,,,,20,77.1,69.5,3.2,4.4,26.6,10.9,4.4,2,1.3,1.1,-19,12313.8095238095,40784,3.31205383038787,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69089,Francheville,5582,13826,25696.0869565217,69,7,,12,8,,,,,17,79.5,71.6,2.7,5.3,26.2,11.6,3.3,1.8,0.7,0.8,-20.6,13922.5,45955.7142857143,3.30082343585666,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69090,Frontenas,307,820.5,26619.0476190476,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69091,Givors,7641,19237.5,16650.7407407407,36,27,33,33,34,27,15,15,7,42,65.8,59,4.8,2,27.9,6.1,12.3,4.6,4.3,3.4,-12.1,8813.52941176471,27716,3.14471067209504,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69092,Gleizé,3047,7550.5,21165.2,51,14,,22,16,,,,,27,67.3,59.4,2.5,5.4,32.4,10.7,6,2.6,1.9,1.6,-16.4,11345,37463.4615384615,3.30220022375157,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69093,Grandris,485,1057.5,19517.1428571429,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69094,Grézieu-la-Varenne,2370,5912,25606,67,5,,,,,,,,11,76.2,69.1,2.9,4.2,26,13.8,3,1.8,0.6,0.6,-19,14810,43370,2.92842673869007,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69095,Grézieu-le-Marché,323,838,20783.3333333333,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
