CODGEO,LIBGEO,NBMENFISC15,NBPERSMENFISC15,MED15,PIMP15,TP6015,TP60AGE115,TP60AGE215,TP60AGE315,TP60AGE415,TP60AGE515,TP60AGE615,TP60TOL115,TP60TOL215,PACT15,PTSA15,PCHO15,PBEN15,PPEN15,PPAT15,PPSOC15,PPFAM15,PPMINI15,PPLOGT15,PIMPOT15,D115,D915,RD15,year,extraction_source_url,ingestion_timestamp,source_file_name
69044,Charbonnières-les-Bains,2098,5248.5,33860.6666666667,80,5,,,,,,,,,72.3,63.2,2.5,6.6,29.3,22.7,1.6,0.9,0.3,0.4,-25.9,16405.3333333333,66287.7142857143,4.04061977521828,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69045,Charentay,466,1191.5,22565.6,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69046,Charly,1703,4650.5,29820.3333333333,80,,,,,,,,,,79.1,69,2.5,7.6,26.5,15.4,1.8,1.2,0.3,0.3,-22.8,17163.2258064516,54568.1818181818,3.17936630523557,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69047,Charnay,387,977,27486,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69049,Chasselay,1035,2707,29104.6666666667,74,,,,,,,,,,76.4,67.2,2.7,6.5,28.8,14.4,1.9,1.3,0.2,0.4,-21.5,15517.2222222222,52864,3.40679531703126,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69050,Châtillon,884,2244.5,24529.6,68,,,,,,,,,,80.5,74.3,2.3,3.9,25.3,10.4,2.7,1.7,0.5,0.5,-18.9,14051,40768.6666666667,2.9014779493749,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69051,Chaussan,425,1143,22805.2380952381,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69052,Chazay-d'Azergues,1647,4281.5,27450.9523809524,75,,,,,,,,,,77.9,71.5,2,4.3,28.3,10.3,2.3,1.6,0.3,0.4,-18.8,15859.375,45571.9230769231,2.87350056839712,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69053,Chénas,200,530.5,20644.347826087,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69054,Chénelette,162,349,21534.6666666667,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69055,Les Chères,557,1511.5,24600,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69056,Chessy,740,1979,23890.6666666667,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69057,Chevinay,222,581,24728.6666666667,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
