CODGEO,LIBGEO,NBMENFISC14,NBPERSMENFISC14,MED14,PIMP14,TP6014,TP60AGE114,TP60AGE214,TP60AGE314,TP60AGE414,TP60AGE514,TP60AGE614,TP60TOL114,TP60TOL214,PRA14,PTSAC14,PBEN14,PPEN14,PPAT14,PPSOC14,PPFAM14,PPMINI14,PPLOGT14,PIMPOT14,D114,D914,RD14,year,extraction_source_url,ingestion_timestamp,source_file_name
69042,La Chapelle-sur-Coise,212,622.5,21644,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69043,Chaponost,3360,8907,27943.3333333333,77,5,,,,,,,,14,78.3,72.1,6.2,26.7,14.1,2.6,1.7,0.4,0.5,-21.7,14946,50414.5833333333,3.3731154377983,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69044,Charbonnières-les-Bains,2083,5242.5,33673.3333333333,82,5,,,,,,,,,73.1,66.3,6.8,28.6,22.5,1.7,1.1,0.3,0.4,-25.9,15930.6060606061,66531.6666666667,4.17634247018318,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69045,Charentay,469,1185.5,22474.5161290323,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69046,Charly,1663,4554.5,29876.6666666667,81,,,,,,,,,,79.4,71.4,8,26.7,14.6,1.9,1.4,0.2,0.3,-22.6,16918.3333333333,53816.6666666667,3.18096739237513,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69047,Charnay,383,945.5,25618.5714285714,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69049,Chasselay,1023,2680,28666.8333333333,79,,,,,,,,,,77.1,70.6,6.5,27.6,14.8,2,1.5,0.2,0.3,-21.5,15867,52151.7391304348,3.2868052644126,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69050,Châtillon,873,2201,24527.0833333333,70,,,,,,,,,,80.9,76.8,4.1,24.9,10.5,2.7,1.7,0.5,0.5,-19,13774,42234.4,3.06624074342965,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69051,Chaussan,413,1137,23154.1666666667,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69052,Chazay-d'Azergues,1623,4239,27484.6666666667,75,,,,,,,,,,77.7,73.2,4.5,27.7,10.8,2.5,1.8,0.3,0.4,-18.7,15879,45361,2.85666603690409,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69053,Chénas,203,540.5,20893.0434782609,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69054,Chénelette,157,342,21485.2222222222,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69055,Les Chères,558,1510.5,25105.7142857143,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69056,Chessy,712,1940.5,24039.4444444444,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69057,Chevinay,220,566,25200.8,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69058,Chiroubles,169,398.5,18046,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69059,Civrieux-d'Azergues,565,1471.5,24575.652173913,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69060,Claveisolles,248,619,19380,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69061,Cogny,450,1144.5,24554.2857142857,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69062,Coise,293,802.5,20396.6666666667,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
