Unnamed: 0;code_insee;nom_standard;nom_sans_pronom;nom_a;nom_de;nom_sans_accent;nom_standard_majuscule;typecom;typecom_texte;reg_code;reg_nom;dep_code;dep_nom;canton_code;canton_nom;epci_code;epci_nom;academie_code;academie_nom;code_postal;codes_postaux;zone_emploi;code_insee_centre_zone_emploi;code_unite_urbaine;nom_unite_urbaine;taille_unite_urbaine;type_commune_unite_urbaine;statut_commune_unite_urbaine;population;superficie_hectare;superficie_km2;densite;altitude_moyenne;altitude_minimale;altitude_maximale;latitude_mairie;longitude_mairie;latitude_centre;longitude_centre;grille_densite;grille_densite_texte;niveau_equipements_services;niveau_equipements_services_texte;gentile;url_wikipedia;url_villedereve;extraction_source_url;ingestion_timestamp;source_file_name
26989;69023;Blacé;Blacé;à Blacé;de Blacé;blace;BLACÉ;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6907;Gleizé;200040590;CA Villefranche Beaujolais Saône;10;Lyon;69460;69460;08434;69264;69205;Saint-Étienne-des-Oullières;2.0;UNITE URBAINE;C;1669;1105;11;151.0;358;218.0;732.0;46.032;4.644;46.035;4.636;6;Rural à habitat dispersé;1.0;centres locaux d'équipements et de services;;https://fr.wikipedia.org/wiki/fr:Blacé;https://villedereve.fr/ville/69023-blace;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
26990;69024;Val d'Oingt;Val d'Oingt;à Val d'Oingt;de Val d'Oingt;val-d-oingt;VAL D'OINGT;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6904;Val d'Oingt;200040574;CC Beaujolais Pierres Dorées;10;Lyon;69620;69620;08421;69123;69301;Val d'Oingt;3.0;UNITE URBAINE;C;4155;521;5;798.0;328;250.0;652.0;45.92;4.587;45.919;4.579;5;Bourgs ruraux;2.0;centres intermédiaires d'équipements et de services;;https://fr.wikipedia.org/wiki/fr:Val d'Oingt;https://villedereve.fr/ville/69024-val-d-oingt;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
26991;69026;Le Breuil;Breuil;au Breuil;du Breuil;le-breuil;LE BREUIL;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6904;Val d'Oingt;200040574;CC Beaujolais Pierres Dorées;10;Lyon;69620;69620;08421;69123;69301;Val d'Oingt;3.0;UNITE URBAINE;B;535;564;6;95.0;282;225.0;391.0;45.895;4.587;45.891;4.591;6;Rural à habitat dispersé;0.0;communes non pôle;Breugliens, Breugliennes;https://fr.wikipedia.org/wiki/fr:Le Breuil (Rhône);https://villedereve.fr/ville/69026-le-breuil;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
26992;69027;Brignais;Brignais;à Brignais;de Brignais;brignais;BRIGNAIS;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6905;Brignais;246900757;CC de la Vallée du Garon (CCVG);10;Lyon;69530;69530;08421;69123;00760;Lyon;7.0;UNITE URBAINE;B;12388;1032;10;1200.0;244;203.0;331.0;45.675;4.759;45.678;4.753;2;Centres urbains intermédiaires;2.0;centres intermédiaires d'équipements et de services;Brignarot(e)s;https://fr.wikipedia.org/wiki/fr:Brignais;https://villedereve.fr/ville/69027-brignais;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
26993;69028;Brindas;Brindas;à Brindas;de Brindas;brindas;BRINDAS;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6905;Brignais;246900724;CC des Vallons du Lyonnais (CCVL);10;Lyon;69126;69126;08421;69123;00760;Lyon;7.0;UNITE URBAINE;B;6661;1139;11;585.0;297;232.0;371.0;45.72;4.694;45.72;4.703;4;Ceintures urbaines;2.0;centres intermédiaires d'équipements et de services;Brindasiens;https://fr.wikipedia.org/wiki/fr:Brindas;https://villedereve.fr/ville/69028-brindas;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
26994;69029;Bron;Bron;à Bron;de Bron;bron;BRON;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6999;Lyon;200046977;Métropole de Lyon;10;Lyon;69500;69678, 69674, 69675, 69500, 69676, 69672, 69673, 69677, 69696, 69671, 69394;08421;69123;00760;Lyon;7.0;UNITE URBAINE;B;43049;1026;10;4196.0;198;183.0;221.0;45.734;4.909;45.734;4.912;1;Grands centres urbains;3.0;centres structurants d'équipements et de services;Brondillants;https://fr.wikipedia.org/wiki/fr:Bron;https://villedereve.fr/ville/69029-bron;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
26995;69030;Brullioles;Brullioles;à Brullioles;de Brullioles;brullioles;BRULLIOLES;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6902;L'Arbresle;200066587;CC des Monts du Lyonnais;10;Lyon;69690;69690;08421;69123;69000;;0.0;HORS UNITE URBAINE;H;826;1249;12;66.0;560;380.0;817.0;45.762;4.499;45.764;4.493;6;Rural à habitat dispersé;1.0;centres locaux d'équipements et de services;;https://fr.wikipedia.org/wiki/fr:Brullioles;https://villedereve.fr/ville/69030-brullioles;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
26996;69031;Brussieu;Brussieu;à Brussieu;de Brussieu;brussieu;BRUSSIEU;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6902;L'Arbresle;200066587;CC des Monts du Lyonnais;10;Lyon;69690;69690;08421;69123;69000;;0.0;HORS UNITE URBAINE;H;1376;684;7;201.0;451;297.0;599.0;45.748;4.525;45.747;4.517;5;Bourgs ruraux;1.0;centres locaux d'équipements et de services;;https://fr.wikipedia.org/wiki/fr:Brussieu;https://villedereve.fr/ville/69031-brussieu;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
26997;69032;Bully;Bully;à Bully;de Bully;bully;BULLY;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6904;Val d'Oingt;246900625;CC du Pays de l'Arbresle (CCPA);10;Lyon;69210;69210, 69595;08421;69123;69401;L'Arbresle;4.0;UNITE URBAINE;B;2076;1275;13;163.0;332;230.0;427.0;45.853;4.583;45.859;4.581;6;Rural à habitat dispersé;1.0;centres locaux d'équipements et de services;Bullylois;https://fr.wikipedia.org/wiki/fr:Bully (Rhône);https://villedereve.fr/ville/69032-bully;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
26998;69033;Cailloux-sur-Fontaines;Cailloux-sur-Fontaines;à Cailloux-sur-Fontaines;de Cailloux-sur-Fontaines;cailloux-sur-fontaines;CAILLOUX-SUR-FONTAINES;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6999;Lyon;200046977;Métropole de Lyon;10;Lyon;69270;69270;08421;69123;00760;Lyon;7.0;UNITE URBAINE;B;2937;838;8;350.0;274;218.0;314.0;45.852;4.872;45.86;4.884;4;Ceintures urbaines;1.0;centres locaux d'équipements et de services;Cailloutains;https://fr.wikipedia.org/wiki/fr:Cailloux-sur-Fontaines;https://villedereve.fr/ville/69033-cailloux-sur-fontaines;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
