id_commune,target_nuance,inscrits_2017_t2,abstentions_2017_t2,votants_2017_t2,blancs_2017_t2,nuls_2017_t2,exprimes_2017_t2,pct_abs_ins_2017_t2,pct_vot_ins_2017_t2,pct_blancs_ins_2017_t2,pct_nuls_ins_2017_t2,inscrits_2017_t1,abstentions_2017_t1,votants_2017_t1,blancs_2017_t1,nuls_2017_t1,exprimes_2017_t1,pct_abs_ins_2017_t1,pct_vot_ins_2017_t1,pct_blancs_ins_2017_t1,pct_nuls_ins_2017_t1,share_nuance_rem_2017_t2,share_nuance_rn_2017_t2,share_nuance_dlf_2017_t1,share_nuance_div_2017_t1,share_nuance_lr_2017_t1,share_nuance_rn_2017_t1,share_nuance_rem_2017_t1,share_nuance_soc_2017_t1,share_nuance_exg_2017_t1,share_nuance_res_2017_t1,share_nuance_fi_2017_t1,insee_pop,insee_log,sec_rate_cambriolages_de_logement,sec_count_cambriolages_de_logement,sec_rate_destructions_et_degradations_volontaires,sec_count_destructions_et_degradations_volontaires,sec_rate_escroqueries_et_fraudes_aux_moyens_de_paiement,sec_count_escroqueries_et_fraudes_aux_moyens_de_paiement,sec_rate_trafic_de_stupefiants,sec_count_trafic_de_stupefiants,sec_rate_usage_de_stupefiants,sec_count_usage_de_stupefiants,sec_rate_usage_de_stupefiants_afd,sec_count_usage_de_stupefiants_afd,sec_rate_violences_physiques_hors_cadre_familial,sec_count_violences_physiques_hors_cadre_familial,sec_rate_violences_physiques_intrafamiliales,sec_count_violences_physiques_intrafamiliales,sec_rate_violences_sexuelles,sec_count_violences_sexuelles,sec_rate_vols_avec_armes,sec_count_vols_avec_armes,sec_rate_vols_d_accessoires_sur_vehicules,sec_count_vols_d_accessoires_sur_vehicules,sec_rate_vols_dans_les_vehicules,sec_count_vols_dans_les_vehicules,sec_rate_vols_de_vehicule,sec_count_vols_de_vehicule,sec_rate_vols_sans_violence_contre_des_personnes,sec_count_vols_sans_violence_contre_des_personnes,sec_rate_vols_violents_sans_arme,sec_count_vols_violents_sans_arme
69059,REM,1092.0,214.0,878.0,79.0,14.0,785.0,19.6,80.4,7.23,1.28,1092.0,172.0,920.0,14.0,1.0,905.0,15.75,84.25,1.28,0.09,67.39,32.61,5.3,1.99,23.98,20.99,26.74,3.65,1.77,0.33,15.25,1633.0,694.0,5.1599952,2.6492537,7.9608083,13.0,3.6742192,6.0,0.0,0.0,1.306157,3.0299401,1.7948427,6.2348485,1.4219906,2.721519,1.9820933,3.0404624,1.0619796,2.4517766,0.0,0.0,1.1839424,2.7266667,6.7360686,11.0,1.4076726,2.3846154,10.4102878,17.0,0.3546356,1.7640449
69060,RN,461.0,97.0,364.0,30.0,10.0,324.0,21.04,78.96,6.51,2.17,461.0,79.0,382.0,11.0,1.0,370.0,17.14,82.86,2.39,0.22,49.69,50.31,8.38,1.62,20.81,35.14,20.54,2.97,1.08,1.62,7.84,557.0,384.0,5.1599952,2.6492537,3.5081804,3.3106061,5.0485131,4.2666667,0.0,0.0,1.306157,3.0299401,0.0,0.0,1.4219906,2.721519,1.9820933,3.0404624,1.0619796,2.4517766,0.0,0.0,1.1839424,2.7266667,0.0,0.0,0.0,0.0,2.2745888,2.6805556,0.0,0.0
69061,REM,928.0,180.0,748.0,78.0,18.0,652.0,19.4,80.6,8.41,1.94,928.0,160.0,768.0,10.0,2.0,756.0,17.24,82.76,1.08,0.22,60.89,39.11,5.29,0.53,30.95,22.88,21.56,3.31,1.19,1.32,12.96,1198.0,583.0,5.1599952,2.6492537,3.5081804,3.3106061,5.0485131,4.2666667,0.3375502,1.7521368,1.306157,3.0299401,0.0,0.0,1.4219906,2.721519,1.9820933,3.0404624,1.0619796,2.4517766,0.0,0.0,0.0,0.0,1.5184457,2.4964539,1.4076726,2.3846154,2.2745888,2.6805556,0.0,0.0
69062,REM,608.0,96.0,512.0,34.0,11.0,467.0,15.79,84.21,5.59,1.81,608.0,79.0,529.0,16.0,3.0,510.0,12.99,87.01,2.63,0.49,65.1,34.9,13.53,0.39,24.71,20.39,20.98,4.12,1.5699999999999998,1.57,12.75,794.0,339.0,5.1599952,2.6492537,3.5081804,3.3106061,5.0485131,4.2666667,0.0,0.0,0.0,0.0,0.0,0.0,1.4219906,2.721519,1.9820933,3.0404624,1.0619796,2.4517766,0.0,0.0,0.0,0.0,1.5184457,2.4964539,1.4076726,2.3846154,2.2745888,2.6805556,0.0,0.0
69063,REM,3290.0,657.0,2633.0,201.0,54.0,2378.0,19.97,80.03,6.11,1.64,3290.0,514.0,2776.0,25.0,7.0,2744.0,15.62,84.38,0.76,0.21,78.85,21.15,3.21,0.48,43.44,9.51,28.35,3.68,0.59,0.66,10.09,4604.0,2052.0,15.5923501,32.0,6.9504778,32.0,8.03649,37.0,0.0,0.0,1.3032146,6.0,1.7948427,6.2348485,3.2580365,15.0,1.9820933,3.0404624,1.0619796,2.4517766,0.1055371,1.046875,4.5612511,21.0,8.9052997,41.0,5.2128584,24.0,7.6020851,35.0,0.3546356,1.7640449
69064,REM,2703.0,644.0,2059.0,199.0,69.0,1791.0,23.83,76.17,7.36,2.55,2703.0,554.0,2149.0,44.0,9.0,2096.0,20.5,79.5,1.63,0.33,69.29,30.71,4.77,1.5699999999999998,18.46,19.04,26.05,8.83,1.62,1.1,18.56,3945.0,2068.0,5.3193509,11.0,7.6045627,30.0,6.8441065,27.0,0.3375502,1.7521368,2.0278834,8.0,1.7948427,6.2348485,4.0557668,16.0,3.2953105,13.0,1.0619796,2.4517766,0.1055371,1.046875,1.1839424,2.7266667,4.3092522,17.0,6.0836502,24.0,4.5627376,18.0,0.3546356,1.7640449
69065,RN,661.0,113.0,548.0,57.0,18.0,473.0,17.1,82.9,8.62,2.72,661.0,101.0,560.0,14.0,3.0,543.0,15.28,84.72,2.12,0.45,43.76,56.24,9.58,0.73,21.18,35.36,17.86,3.5,0.92,1.84,9.02,993.0,439.0,5.1599952,2.6492537,3.5081804,3.3106061,5.0485131,4.2666667,0.0,0.0,0.0,0.0,0.0,0.0,1.4219906,2.721519,1.9820933,3.0404624,1.0619796,2.4517766,0.0,0.0,1.1839424,2.7266667,1.5184457,2.4964539,1.4076726,2.3846154,2.2745888,2.6805556,0.0,0.0
69066,RN,3288.0,751.0,2537.0,265.0,80.0,2192.0,22.84,77.16,8.06,2.43,3289.0,614.0,2675.0,56.0,24.0,2595.0,18.67,81.33,1.7,0.73,54.88,45.12,7.21,0.73,23.51,29.13,19.96,3.16,1.42,1.19,13.68,4329.0,2773.0,5.7702339,16.0,4.3890044,19.0,6.2370062,27.0,0.3375502,1.7521368,1.306157,3.0299401,1.7948427,6.2348485,2.7720028,12.0,1.8480018,8.0,1.0619796,2.4517766,0.0,0.0,1.1839424,2.7266667,1.5184457,2.4964539,1.4076726,2.3846154,2.7720028,12.0,0.3546356,1.7640449
69067,REM,866.0,168.0,698.0,57.0,21.0,620.0,19.4,80.6,6.58,2.42,866.0,130.0,736.0,9.0,4.0,723.0,15.01,84.99,1.04,0.46,58.87,41.13,8.44,0.97,26.42,26.69,17.57,3.73,1.52,1.66,13.0,1178.0,589.0,5.1599952,2.6492537,7.6400679,9.0,5.0485131,4.2666667,0.0,0.0,1.306157,3.0299401,1.7948427,6.2348485,1.4219906,2.721519,1.9820933,3.0404624,1.0619796,2.4517766,0.0,0.0,0.0,0.0,1.5184457,2.4964539,1.4076726,2.3846154,2.2745888,2.6805556,0.0,0.0
69068,REM,1782.0,375.0,1407.0,120.0,31.0,1256.0,21.04,78.96,6.73,1.74,1782.0,340.0,1442.0,25.0,8.0,1409.0,19.08,80.92,1.4,0.45,74.28,25.72,3.48,0.78,25.98,13.06,25.98,7.88,1.2,0.85,20.79,2541.0,1142.0,7.0070961,8.0,4.3290043,11.0,4.3290043,11.0,0.3375502,1.7521368,1.306157,3.0299401,1.7948427,6.2348485,1.4219906,2.721519,2.3612751,6.0,1.0619796,2.4517766,0.0,0.0,1.1839424,2.7266667,1.5184457,2.4964539,1.4076726,2.3846154,6.6902794,17.0,0.3546356,1.7640449
